k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0006666666666666666,0.00046320555585310075
7,0.003999999999999999,0.0010283342182227603
8,0.04700000000000003,0.004072616713680742
9,0.22966666666666669,0.006972579023399296
10,0.4496666666666667,0.008157689177721014
11,0.20966666666666664,0.004585918810990461
12,0.05066666666666668,0.0036177510424798428
13,0.007666666666666668,0.0014128583022990943
14,0.0006666666666666666,0.0004632055558531008
15,0.0003333333333333333,0.0003333333333333334
