k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0003333333333333333,0.00033333333333333354
6,0.007000000000000002,0.0016010054312227042
7,0.037666666666666675,0.0035455438547638417
8,0.12400000000000003,0.004903669749431974
9,0.2226666666666667,0.005294398109416797
10,0.24566666666666667,0.008103969984021148
11,0.1946666666666667,0.005807908467450526
12,0.10666666666666667,0.0051042766232585095
13,0.045000000000000026,0.0036119215123662715
14,0.012333333333333337,0.0018987796040284216
15,0.003,0.0010880753861644936
16,0.001,0.0005570860145311555
