k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0016666666666666668,0.0008419098886082755
6,0.008333333333333333,0.0013631718702690136
7,0.059666666666666694,0.0044588368498566806
8,0.13000000000000003,0.0051639777949432225
9,0.2006666666666667,0.007519068989405068
10,0.23300000000000007,0.005835877934327262
11,0.17700000000000005,0.006766210844734467
12,0.104,0.006891607423059095
13,0.06000000000000002,0.0046977617561176285
14,0.01566666666666667,0.0025678531367274047
15,0.007333333333333333,0.0013504646568022543
16,0.0016666666666666668,0.0008419098886082752
17,0.001,0.0005570860145311559
