k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.008,0.001546222686970137
6,0.032000000000000015,0.002599734734478726
7,0.08633333333333335,0.004806206077379282
8,0.132,0.0067364167288572335
9,0.171,0.005149489428992971
10,0.17300000000000001,0.00673214966266049
11,0.1606666666666667,0.005752227621136352
12,0.11033333333333337,0.005240938174620225
13,0.06833333333333336,0.004182155120979934
14,0.03333333333333335,0.0036932163141758997
15,0.015000000000000005,0.0022360679774997894
16,0.005333333333333332,0.0012441433680675687
17,0.0029999999999999996,0.0009767410038007758
18,0.0006666666666666666,0.00046320555585310075
19,0.001,0.0005570860145311556
