k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.002333333333333333,0.000920186554465537
6,0.02566666666666667,0.0026558689438191973
7,0.07100000000000002,0.0039054927426918095
8,0.13533333333333336,0.004976573472270274
9,0.193,0.007909691421971189
10,0.19300000000000006,0.007938701940855768
11,0.15566666666666665,0.00788834923414568
12,0.11133333333333335,0.0044134937637958825
13,0.06500000000000003,0.004254814716983816
14,0.030333333333333348,0.003088105967649581
15,0.010333333333333335,0.00216997978343956
16,0.005333333333333334,0.0011480451484306917
17,0.0006666666666666666,0.0004632055558531008
18,0.001,0.0005570860145311556
