k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.005333333333333333,0.0011480451484306917
6,0.028666666666666677,0.0030600628546370583
7,0.08733333333333333,0.004339959566879118
8,0.12733333333333335,0.005929341289098255
9,0.17866666666666664,0.007516011006906436
10,0.18500000000000003,0.008666887707172374
11,0.15866666666666665,0.006301492859675111
12,0.10800000000000004,0.0047318922850907285
13,0.06166666666666668,0.004748462142663297
14,0.03466666666666667,0.0027009293136045086
15,0.013666666666666669,0.0026034165586355518
16,0.008333333333333333,0.0012760691558146274
17,0.002,0.0007427813527082073
18,0.0,0.0
19,0.0006666666666666666,0.00046320555585310075
