deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.008333333333333333,0.001734261466806272
5,0.052000000000000025,0.0039653673135076
6,0.12766666666666668,0.005543627040691277
7,0.20933333333333334,0.005337641937779144
8,0.24200000000000008,0.007956779802632858
9,0.1763333333333334,0.006686464855253214
10,0.11000000000000001,0.004673230195461179
11,0.049666666666666685,0.0030506578651106854
12,0.017333333333333336,0.002913832777621031
13,0.004666666666666666,0.0010431311544403152
14,0.0026666666666666666,0.0008211756827352531
