deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.006666666666666666,0.001384091330895666
6,0.02733333333333334,0.003455242005707801
7,0.08600000000000002,0.004410019938965011
8,0.1446666666666667,0.004812181222959643
9,0.17933333333333337,0.007286159660984926
10,0.1753333333333334,0.005827665555242063
11,0.13833333333333334,0.00822224811013839
12,0.11133333333333333,0.0060786669238313456
13,0.06433333333333337,0.0045909289204354295
14,0.03800000000000001,0.003632547632014008
15,0.015666666666666672,0.0020724427994731538
16,0.009000000000000001,0.0017518463166731775
17,0.0023333333333333335,0.001143028175488988
18,0.001,0.0005570860145311558
19,0.0003333333333333333,0.0003333333333333335
20,0.0,0.0
21,0.0003333333333333333,0.00033333333333333354
