deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0003333333333333333,0.00033333333333333343
6,0.0016666666666666668,0.000692045665447833
7,0.021333333333333336,0.002825716604598188
8,0.09733333333333334,0.00467159017779514
9,0.23700000000000002,0.00836179049186746
10,0.309,0.008999999999999998
11,0.20200000000000004,0.007004103887319761
12,0.09899999999999999,0.004967711839422676
13,0.026333333333333337,0.002558885054141064
14,0.005333333333333334,0.001043131154440315
15,0.0003333333333333333,0.0003333333333333334
16,0.0003333333333333333,0.0003333333333333335
