deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.016800000000000006,0.0005150605365603533
101,0.017100000000000008,0.0005104651923918791
102,0.01603333333333334,0.000603597135443591
103,0.01453333333333334,0.000759209106526621
104,0.014733333333333341,0.0005337641937779144
105,0.015300000000000008,0.0007537644987263793
106,0.013800000000000007,0.0006563570657052069
107,0.014500000000000008,0.0005224830195777911
108,0.014300000000000004,0.0006217328398419462
109,0.013733333333333342,0.000561060845212577
110,0.012633333333333337,0.000570306095132775
111,0.013200000000000009,0.0006386048010734205
112,0.012700000000000006,0.0006488716997670808
113,0.012000000000000005,0.0006626314660277725
114,0.01163333333333334,0.0006686464855253216
115,0.010700000000000006,0.0006272545542776623
116,0.011266666666666673,0.0005359133000160564
117,0.009666666666666672,0.0005324705665241595
118,0.009900000000000004,0.0005700373046877126
119,0.010366666666666672,0.0005743228563230086
120,0.010166666666666673,0.0005735217546572528
121,0.010766666666666673,0.0006480445091378793
122,0.009633333333333337,0.0005939993678802576
123,0.00906666666666667,0.000569196516441819
124,0.00946666666666667,0.00044652768467372397
125,0.008533333333333335,0.0005866980137915699
126,0.009566666666666671,0.0004952262534898507
127,0.008433333333333336,0.0004998467198001995
128,0.00796666666666667,0.0004733916104645682
129,0.009733333333333339,0.0006006382301559768
130,0.00796666666666667,0.00042204573847390596
131,0.007500000000000003,0.0005068496342349849
132,0.0076000000000000035,0.0005458305913768104
133,0.0062666666666666695,0.0005095261114384109
134,0.00716666666666667,0.0005275912152618313
135,0.007366666666666671,0.0004560785709011651
136,0.007433333333333336,0.0006190154090395104
137,0.007133333333333336,0.0006481331872018978
138,0.007466666666666668,0.00043346593903848256
139,0.007233333333333337,0.0003826205266748638
140,0.0062333333333333355,0.0003609799349132326
141,0.00676666666666667,0.0003826205266748639
142,0.005266666666666669,0.00046715901777951406
143,0.006800000000000004,0.00043258113317805384
144,0.006100000000000003,0.0004049975166661484
145,0.00666666666666667,0.0004850247850838077
146,0.00596666666666667,0.00041379469986920647
147,0.00546666666666667,0.00035471644279518825
148,0.0056333333333333365,0.000333850174026191
149,0.004966666666666669,0.0004993865969167341
150,0.0052333333333333355,0.00046654349770309974
151,0.0059000000000000025,0.0005171762411091755
152,0.00666666666666667,0.00048502478508380783
153,0.005333333333333337,0.00046320555585310064
154,0.005733333333333336,0.0004418699380423994
155,0.0052333333333333355,0.000448966458909854
156,0.0056333333333333365,0.0003759534494702534
157,0.004733333333333335,0.00027929851921420747
158,0.005133333333333336,0.0003547164427951882
159,0.004066666666666668,0.0003353959174705899
160,0.005500000000000002,0.0005068496342349848
161,0.00536666666666667,0.00039966461035008274
162,0.004733333333333335,0.00036493845594613966
163,0.004333333333333336,0.00044549683831671745
164,0.005066666666666668,0.00036177510424798427
165,0.005633333333333335,0.0003967782128489049
166,0.004666666666666668,0.00041058784136762647
167,0.004600000000000002,0.0003763099724991338
168,0.004933333333333335,0.0005294398109416798
169,0.003966666666666669,0.0003759534494702534
170,0.0042333333333333355,0.00041156648694965024
171,0.005133333333333336,0.00034485823618573197
172,0.004200000000000001,0.0003756985830254838
173,0.005266666666666669,0.0004418699380423994
174,0.004900000000000002,0.00041894777882131123
175,0.004400000000000002,0.0003971160402518228
176,0.004166666666666668,0.000321931431741753
177,0.004500000000000001,0.000385811579287926
178,0.005300000000000002,0.0005189511969613195
179,0.004033333333333335,0.0003440239678008727
180,0.0038000000000000017,0.0003194823399144957
181,0.005066666666666668,0.00033880565525187356
182,0.003666666666666668,0.0003192423982059096
183,0.004133333333333335,0.000298399305618947
184,0.0037666666666666686,0.00036415019426697316
185,0.004333333333333334,0.0004021017579603318
186,0.004666666666666669,0.00031924239820590956
187,0.004500000000000002,0.00027016384981548965
188,0.004666666666666668,0.0004778624178793053
189,0.003966666666666669,0.00032335643951092127
190,0.0046000000000000025,0.00036703221068206114
191,0.004700000000000001,0.0004100742853925736
192,0.004366666666666669,0.00027744040815394635
193,0.004266666666666669,0.00036493845594613955
194,0.004300000000000002,0.0004100742853925736
195,0.0039000000000000016,0.0003045629995414006
196,0.0042000000000000015,0.0003009563301272764
197,0.0042333333333333355,0.0004171147016463239
198,0.004166666666666668,0.00039270161622658643
199,0.0034000000000000015,0.000354284125214933
200,0.004100000000000002,0.0003156820749009882
201,0.003566666666666668,0.00029820664490439196
202,0.0034666666666666682,0.00030973972512095976
203,0.0033000000000000013,0.0003656202413974645
204,0.0031000000000000008,0.000296919045431966
205,0.0034000000000000015,0.00032020108624454085
206,0.0036666666666666683,0.0003082517754825147
207,0.004033333333333334,0.00033038929783303417
208,0.002833333333333334,0.00032899475359452206
209,0.002833333333333334,0.0002880107490544081
210,0.003166666666666668,0.0002958849315533092
211,0.003366666666666668,0.000405375753981055
212,0.0030000000000000014,0.0003070063086700636
213,0.003166666666666668,0.0003685427448604463
214,0.0028333333333333344,0.0002540853930732345
215,0.002966666666666668,0.00031616718018123697
216,0.003433333333333335,0.0003704093210680579
217,0.0029666666666666674,0.00036978817587797095
218,0.002333333333333334,0.00027681826617913317
219,0.0026666666666666674,0.0003333333333333334
220,0.002933333333333335,0.00024882867361351375
221,0.0022000000000000006,0.00031220388269176933
222,0.002866666666666668,0.00030973972512095965
223,0.002666666666666667,0.00028093985666888586
224,0.002900000000000001,0.0002552888830190289
225,0.0025333333333333336,0.00028661052644613703
226,0.002733333333333335,0.0003213954249162364
227,0.002133333333333334,0.00022352110822862972
228,0.0019666666666666673,0.0001476508255429847
229,0.0022666666666666677,0.00022454722429524112
230,0.0022666666666666677,0.0002441656368892804
231,0.0021666666666666666,0.00029197438611219627
232,0.0025000000000000005,0.00035151560191662136
233,0.0017666666666666673,0.00021271822241076077
234,0.002000000000000001,0.00021971768720102056
235,0.001733333333333334,0.00017242911809286604
236,0.0024000000000000007,0.000251889411968961
237,0.0013666666666666675,0.00017605728778546912
238,0.001833333333333334,0.00023035870745343414
239,0.0019000000000000009,0.00016153004062089655
240,0.001766666666666667,0.00026122317640806745
241,0.0013000000000000002,0.0001985580201259114
242,0.0013666666666666673,0.00018246922797306983
243,0.0014000000000000004,0.0002329224625561442
244,0.0017000000000000006,0.00026759894506948054
245,0.0021000000000000007,0.00021090936114997287
246,0.0014000000000000004,0.00020678157724917173
247,0.0013333333333333342,0.00016141139937050078
248,0.0015000000000000005,0.00020200147945287285
249,0.001433333333333334,0.00020162177708811266
250,0.0012000000000000001,0.00018194353045893682
251,0.0015000000000000005,0.00029065917948809
252,0.0015333333333333338,0.00020190662080502516
