network,N,N_SEM,E,E_SEM,<k>,<k>_SEM,C,C_SEM,L,L_SEM,lambda2,lambda2_SEM
WS,1000.0,0.0,5000.0,0.0,10.0,0.0,0.5741809510859511,0.0010472332076876065,5.22973079746413,0.01568185475792833,0.25990520723204363,0.004722628291509388
BA,1000.0,0.0,4975.0,0.0,9.949999999999998,3.298611840155485e-16,0.04019790384890723,0.00048460623485665203,2.978302836169503,0.0027121575500647682,2.758437684940856,0.08811560414758211
ER,1000.0,0.0,5001.4,12.310317138318451,10.0028,0.02462063427663689,0.009790113466398295,0.00018908943707028356,3.2560060060060065,0.0030979021233651666,1.5165788610112718,0.08294433395266633
RR,1000.0,0.0,5000.0,0.0,10.0,0.0,0.008126666666666666,0.00015673390584484045,3.290297297297298,0.0002743043849554571,4.064072988289067,0.004220620050725361
Stars,1000.0,0.0,5000.0,0.0,10.0,0.0,0.12173913043478266,5.1540810002429455e-18,4.477877877877877,1.6493059200777426e-16,0.4103615219026502,3.092448600145767e-17
Cave_bottleneck,1000.0,0.0,5000.0,0.0,10.0,0.0,0.8255462700074868,4.4515545937673856e-05,3.4480313646980316,0.0001648892031852311,0.7892053362105452,0.0025537795097645435
Cave_random,1000.0,0.0,5000.0,0.0,10.0,0.0,0.17362114647822077,0.00034348054152146077,3.358748415081749,0.00044743107997048345,2.2115553492181013,0.042424935016180484
Complete,1000.0,0.0,499500.0,0.0,999.0,0.0,1.0,0.0,1.0,0.0,999.9999999999964,0.0
