k,p,realization,N,E,k_mean,C,L,lambda2
4,0.1,17,100,200,4.0,0.353,5.126868686868687,0.10498936316156987
4,0.1,18,100,200,4.0,0.3943333333333333,5.313131313131313,0.08130809383745649
4,0.1,19,100,200,4.0,0.4016666666666666,5.494545454545454,0.08208627280991602
4,0.1,20,100,200,4.0,0.4003333333333333,5.642020202020202,0.10768855281311662
4,0.1,21,100,200,4.0,0.36233333333333334,5.098585858585858,0.09480562786954605
4,0.1,22,100,200,4.0,0.395,4.708686868686868,0.15533405318179558
4,0.1,23,100,200,4.0,0.38733333333333336,5.196767676767677,0.08501966068842792
4,0.1,24,100,200,4.0,0.32666666666666666,4.685656565656566,0.12285991285073324
4,0.1,25,100,200,4.0,0.433,5.912121212121212,0.08038135937358226
4,0.1,26,100,200,4.0,0.37333333333333335,4.680808080808081,0.12886824038131722
4,0.1,27,100,200,4.0,0.4056666666666666,5.485656565656566,0.08154428468485611
4,0.1,28,100,200,4.0,0.4006666666666666,5.13959595959596,0.0959216385177488
4,0.1,29,100,200,4.0,0.39466666666666667,5.331111111111111,0.0683870587897906
4,0.2,0,100,200,4.0,0.345,4.661818181818182,0.11549675343836131
4,0.2,1,100,200,4.0,0.32799999999999996,4.262828282828282,0.2449608687929528
4,0.2,2,100,200,4.0,0.29766666666666663,4.384242424242424,0.19290714026670708
4,0.2,3,100,200,4.0,0.263,4.295959595959596,0.23791255963664643
4,0.2,4,100,200,4.0,0.23766666666666666,4.064444444444445,0.25922266831433594
4,0.2,5,100,200,4.0,0.30766666666666664,4.415757575757576,0.19599150943248025
4,0.2,6,100,200,4.0,0.3253333333333333,4.678787878787879,0.11001610900145539
4,0.2,7,100,200,4.0,0.24599999999999997,3.992929292929293,0.33576448698080896
4,0.2,8,100,200,4.0,0.30433333333333334,4.251313131313132,0.12888222768273122
4,0.2,9,100,200,4.0,0.30642857142857144,4.5494949494949495,0.21384356106784905
4,0.2,10,100,200,4.0,0.26599999999999996,4.1066666666666665,0.30996394589410803
4,0.2,11,100,200,4.0,0.2381904761904762,4.062828282828283,0.2544489234154229
4,0.2,12,100,200,4.0,0.3071428571428571,4.187474747474748,0.2287610841747217
4,0.2,13,100,200,4.0,0.29595238095238097,4.13030303030303,0.279357588020479
4,0.2,14,100,200,4.0,0.247,4.053131313131313,0.26881956202948964
4,0.2,15,100,200,4.0,0.2532857142857143,4.0311111111111115,0.27143599948187874
4,0.2,16,100,200,4.0,0.2088095238095238,4.071111111111111,0.27911163477210044
4,0.2,17,100,200,4.0,0.2833333333333333,4.13050505050505,0.3078415365675772
4,0.2,18,100,200,4.0,0.25076190476190474,4.154747474747475,0.2797942475789282
4,0.2,19,100,200,4.0,0.3053333333333333,4.4806060606060605,0.15403422126749675
4,0.2,20,100,200,4.0,0.30123809523809525,4.481212121212121,0.19852899650386222
4,0.2,21,100,200,4.0,0.22566666666666665,3.9963636363636366,0.3078596639222552
4,0.2,22,100,200,4.0,0.2713333333333333,4.144848484848485,0.22088672232149556
4,0.2,23,100,200,4.0,0.30866666666666664,4.304646464646464,0.22146314984187093
4,0.2,24,100,200,4.0,0.26466666666666666,4.147272727272727,0.26875402383225383
4,0.2,25,100,200,4.0,0.244,4.012727272727273,0.3217165945521717
4,0.2,26,100,200,4.0,0.254,4.090909090909091,0.2932806600342601
4,0.2,27,100,200,4.0,0.23709523809523808,4.054343434343434,0.30172363024028565
