k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
4,0.0,0.10049459581301785,0.0019686829921173143,0.035275940497731646,5.3,0.6447456201318162,0.007800222688585697,0.5,0.0,12.878787878787879,0.0,0.019717140514500877,0.0,50.71729337550517
4,0.01,0.08677196702370123,0.0024956517400071877,0.03493710017716765,5.9,0.5889867387954241,0.010457708303336385,0.48906666666666665,0.0013222141730010323,10.318430976430976,0.31415711851928496,0.023960962345346518,0.001161664552158818,41.73455079087051
4,0.03,0.06686313593552198,0.0025146265131253255,0.03450768552291542,6.6,0.469237444150839,0.015213406080331318,0.46655555555555545,0.0025838842983505793,7.882269360269359,0.21048435423529113,0.03621477747677708,0.002010725515788484,27.613037264725854
4,0.05,0.05162006173596501,0.0015648535020771452,0.03323817281640871,17.033333333333335,0.34200363722563804,0.017034581111861142,0.43031904761904766,0.004325181135812229,6.128498316498317,0.13540896776380587,0.06848538672523162,0.004462829785812073,14.60165515326756
4,0.1,0.04100590498414344,0.0007896799250631496,0.032391857546207194,55.733333333333334,0.20524979483809813,0.009934327821045884,0.3770920634920634,0.00515064885102733,5.082936026936028,0.06850318541565081,0.11439726043492733,0.005882835427648356,8.741468075355098
4,0.2,0.0324328686246103,0.00041589381621144107,0.028534682867440913,229.83333333333334,0.1193225688529242,0.004374922100179972,0.2747730158730158,0.0070486595495659185,4.2136969696969695,0.037277174371769174,0.24705414006260426,0.012156496091266107,4.0476957793405
4,0.3,0.028835691761217,0.00018277892184400847,0.025576546325898102,259.1333333333333,0.11283474980227617,0.0027345152677764107,0.18369920634920636,0.006910172887208337,3.835750841750842,0.02085664893817737,0.3520559860312632,0.012364730185436504,2.8404573126934367
4,0.4,0.027519321884876782,0.00014243938275519422,0.02471566235220061,247.56666666666666,0.10168366367632196,0.002676205132681267,0.1327298941798942,0.00628382163342177,3.6696700336700343,0.013041724715275357,0.4386161641025253,0.010684347452269328,2.2798977371163476
4,0.5,0.026545931057474954,6.929825102651334e-05,0.02392833068067156,275.8,0.09854221029234546,0.0025800442990925347,0.09252962962962964,0.003981262639148867,3.5634747474747477,0.008694611234230744,0.5079464873612098,0.00884681726042381,1.9687113207436793
4,0.7,0.025935216025554115,5.105348065761849e-05,0.0232371615517202,291.73333333333335,0.10397810774411166,0.002718481446876172,0.04478968253968253,0.003123862045671571,3.477595959595959,0.0056479371419837845,0.5586872723159091,0.008382108500141434,1.7899101152863763
4,0.9,0.02581010381058004,5.290788450189848e-05,0.0232971560777922,289.8,0.09727502835254574,0.003075886800944001,0.03524410774410774,0.002788713445617444,3.4490707070707076,0.0057801785118200355,0.5851504556633292,0.008657689025830652,1.7089621828396175
4,1.0,0.025807086989555996,3.7807983862255425e-05,0.02328382081096776,229.8,0.09772129190825403,0.002620264791135312,0.03582698412698413,0.0027930537398350884,3.4436700336700334,0.004174339735056611,0.5856785888501654,0.008303687291578845,1.7074211334296032
6,0.0,0.06380484665977594,0.0009972662257764285,0.0313138669274611,6.766666666666667,0.5056760358227371,0.008351922642378292,0.6000000000000001,2.0616324000971782e-17,8.757575757575756,3.298611840155485e-16,0.055142639057128816,1.2885202500607364e-18,18.1347867475835
6,0.01,0.05400431098370164,0.0012149599038497542,0.03044607440430958,5.966666666666667,0.4282156032197638,0.01290510866282123,0.5837896825396826,0.0020332443984469655,6.60996632996633,0.20550103101588854,0.07110764837754659,0.0038689308112847993,14.06318480243493
6,0.03,0.040841617892540504,0.00056969355364903,0.030069945319387708,7.566666666666666,0.2600437146521204,0.01061559661480855,0.5502119047619048,0.002812135323429503,4.8388215488215485,0.06660517243310869,0.12830591406317185,0.006877919053258743,7.793873005009314
6,0.05,0.03756697356135639,0.0007099164875487624,0.029180191037724932,49.43333333333333,0.2177098110491207,0.011055227238637517,0.5254735449735449,0.0031152384185001306,4.372350168350168,0.05751968992379435,0.17022887721145377,0.0081218635630271,5.874443962629364
6,0.1,0.030330199971165202,0.0002190965216073892,0.026526798456329295,169.73333333333332,0.12493173151691271,0.003965453494700966,0.45378941798941796,0.0035407460162563383,3.67986531986532,0.020542093736433484,0.3164226341292976,0.009758016830760398,3.160330179134331
6,0.2,0.025639932077545745,9.847979162922111e-05,0.023008449588397165,247.23333333333332,0.102518628292207,0.003127746435296647,0.31456916786916783,0.0035734404761971423,3.143393939393939,0.010009216721140855,0.6681299460249654,0.015204997564102813,1.4967148321213457
6,0.3,0.024350939876406404,9.022729234350115e-05,0.022006119113327855,316.7,0.09623442863018249,0.002564917867181177,0.24092962962962963,0.005079705274591429,2.991885521885522,0.00905581980656387,0.886895898879256,0.020933823357686693,1.127528046147998
6,0.4,0.023393750021313293,4.8825840490289855e-05,0.021262653858376425,192.63333333333333,0.0910157139746992,0.002692375534968139,0.16027751322751319,0.0036946537769855107,2.8636296296296293,0.005771025888086665,1.1431717794770007,0.020776803084254065,0.8747591726393897
6,0.5,0.02297842300644255,3.814104418136025e-05,0.02084003317846596,259.8666666666667,0.09305034754731717,0.002099656269823726,0.11642017797017795,0.0035094620909355374,2.8023771043771046,0.0033878839364944817,1.3168167917286564,0.019949441239663836,0.7594070840236219
6,0.7,0.022637608165530714,2.5262223906106654e-05,0.02053871552801009,246.93333333333334,0.09270400322188431,0.0019450971990326224,0.06623402523402523,0.0018895579141860303,2.74447138047138,0.002012378519713545,1.4970158968713947,0.01456094233709727,0.6679955784637254
6,0.9,0.02253215408235704,3.0413497142628962e-05,0.020421097249911344,300.93333333333334,0.09367165303619637,0.0023140534837893913,0.05115904095904096,0.0016615902550334914,2.724835016835016,0.002165232601740108,1.5543330580176427,0.01615617134828954,0.6433627560333658
6,1.0,0.022521558613596986,2.769149056252189e-05,0.020520016460298558,255.0,0.08882332919210084,0.0024547269799775275,0.04891531246531247,0.0015183141399626946,2.728188552188551,0.002249679611924706,1.5637281948680786,0.011924018918892684,0.6394973265058788
