deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.006333333333333334,0.001311604556796736
9,0.02633333333333334,0.0026034165586355513
10,0.10733333333333335,0.005948695082123189
11,0.23400000000000004,0.005942250821665659
12,0.2736666666666666,0.008029877159898844
13,0.2076666666666667,0.007499936142767742
14,0.10133333333333333,0.005113276236399888
15,0.03333333333333335,0.003785432857112752
16,0.00766666666666667,0.0011430281754889883
17,0.002,0.0007427813527082073
18,0.0003333333333333333,0.00033333333333333354
