k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
14,0.0,0.028780160407554885,0.00018749460970308835,0.023792877686625743,46.53333333333333,0.17232259274763184,0.007025834494434017,0.6923076923076924,2.0616324000971782e-17,4.040404040404041,0.0,0.5466562075010046,4.1232648001943564e-17,1.829303292047886
14,0.01,0.02699541508364316,0.0001621778714265043,0.023152044847882264,134.7,0.1417156611276947,0.005480760964370866,0.67262533022533,0.0014335740857016465,3.0911919191919193,0.04044679915568201,0.6340523312036107,0.010192524826899991,1.5771568856181273
14,0.03,0.025123516208206253,0.0001361419483979612,0.022184189951359477,178.0,0.11646241624796717,0.00422421530443162,0.6381012199673964,0.0024692260683946725,2.6695151515151516,0.017992555322870942,0.851169456591691,0.02047795342687082,1.174854187090155
14,0.05,0.02395045812707651,8.283522410113953e-05,0.02148300014405598,236.33333333333334,0.10295668939933629,0.0025012982520574915,0.6004056506559602,0.002641892780242348,2.498249158249158,0.008816272064616753,1.1259644159623388,0.01957098143435432,0.8881275338930853
14,0.1,0.02255074565180485,6.90103614740034e-05,0.020429686652212356,305.06666666666666,0.09398110542848961,0.001951662954205813,0.5253220207724852,0.0032074024265598055,2.3385656565656565,0.006084278625570741,1.6654710375065487,0.03467887199438504,0.6004307354975952
14,0.2,0.021351940148175538,3.693716805733149e-05,0.019355008479544366,233.43333333333334,0.0934933790804997,0.002228666120285792,0.3911225001177014,0.0034388589655453966,2.1699124579124582,0.0037503695944216455,2.924969483929701,0.047995844620623986,0.34188390870201435
14,0.3,0.020852655334044557,2.7347276473447754e-05,0.019055824824596803,311.0,0.08614552814447478,0.0018026092920648675,0.29370050374586654,0.002976671821514144,2.081198653198653,0.0025235648991395057,3.996090120613485,0.05204559349640981,0.2502446065571911
14,0.4,0.020670399485687472,1.8314639389845727e-05,0.018869211100651005,237.93333333333334,0.08711664896916962,0.0018082825142076966,0.23178462304236297,0.002085410125929828,2.031138047138047,0.0019561357314382896,4.971259231531805,0.0523657447508266,0.20115627719777304
14,0.5,0.020518869835427656,2.3740661965041098e-05,0.01872305967924432,248.36666666666667,0.08749506134004138,0.0019541229275421633,0.18219535484009167,0.0013180303864061542,1.994767676767677,0.001216885640020168,5.787182670054561,0.04480384621952403,0.17279565153082893
14,0.7,0.02045215016448321,2.395506879450743e-05,0.01866963866058545,249.63333333333333,0.08713344703556736,0.002258914753611613,0.1415669949015951,0.0011170959227271753,1.969791245791246,0.0007999552773769836,6.553090246887177,0.03809146291581947,0.15259976016277452
14,0.9,0.020385916601700426,2.05140991826558e-05,0.018599266648218774,297.6,0.08762356384505034,0.0024485780798765054,0.13091770779922282,0.0009446463158763181,1.963973063973064,0.0008105924819212617,6.676294369978049,0.054125444785051484,0.14978368906212383
14,1.0,0.02038918476721801,1.6723674893321424e-05,0.018710809135524427,260.1,0.0823004409617316,0.0012970904887636755,0.13382254079127076,0.0011361339432210754,1.9661818181818178,0.0011055601607044734,6.581720380309381,0.05027427861666327,0.15193595932633558
