k,p,realization,lambda2,lambda_max,kappa,sum_inv,kirchhoff,clustering,path_len,deg_var,plateau,vmin,t_star,delta_rel,init_slope
4,0.0,0,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.08997723535521067,0.03490830813005043,5,0.6120317767906518,-0.008040691646199416
4,0.0,1,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09387720053767032,0.033765235075131794,5,0.640325500955019,-0.00866059866411782
4,0.0,2,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.0985929468693171,0.03566212206393763,4,0.6382893178838946,-0.007798633876687143
4,0.0,3,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10006209192801682,0.03560787504894523,5,0.6441422084743041,-0.00830110041659646
4,0.0,4,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10141531643059602,0.035408051674367155,4,0.6508609062162835,-0.007434893595025566
4,0.0,5,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10768140282954444,0.034012137857793015,6,0.6841410219029842,-0.008070771270076254
4,0.0,6,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.08899458986680173,0.03406398433015055,6,0.6172353355284389,-0.007673057224038348
4,0.0,7,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.11250799962364498,0.03368708244391051,5,0.7005805582127624,-0.007914928659500123
4,0.0,8,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09484232335797188,0.03720453991220674,4,0.6077221793504329,-0.008027338396925985
4,0.0,9,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.1018816390386924,0.03407827753537599,10,0.6655110983988606,-0.008230793769484273
4,0.0,10,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.1061901715693136,0.035009240891924455,4,0.6703156198493112,-0.008900227131218998
4,0.0,11,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.08297695692402705,0.033683951098801505,5,0.5940565628401844,-0.008517876610202377
4,0.0,12,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10636691453446065,0.03602707354085309,5,0.6612943630213033,-0.0077470573735129635
4,0.0,13,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10620590978372942,0.03635151318101808,6,0.6577260789438002,-0.008062656219808348
4,0.0,14,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.1059917499001338,0.03390399876557216,6,0.680126058891218,-0.00869732042794291
4,0.0,15,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.1127350229338203,0.03681078357150416,6,0.6734751755617819,-0.007430132055312014
4,0.0,16,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09780894647416995,0.033876998409188015,6,0.6536411071748484,-0.007924298500355456
4,0.0,17,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09136382802144637,0.03323661049762707,4,0.6362169666333897,-0.00825216372328656
4,0.0,18,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09185954313099008,0.03237047896637664,4,0.6476089705756873,-0.008724472588829392
4,0.0,19,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.12968557788331705,0.034243273392308815,6,0.7359515687772255,-0.007879676230020964
4,0.01,0,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.09853854366712456,0.03262529212589168,8,0.6689083183926081,-0.008325414817565558
4,0.01,1,0.01957928569450466,6.8622697617055675,350.48621633993565,135.44409250552792,13544.409250552791,0.4793333333333333,9.848686868686869,0.04,0.07786172274287656,0.034760148529434945,9,0.5535656378394852,-0.008005607126356375
4,0.01,2,0.019643477424707803,6.851283041252054,348.7815773715517,153.83201316318332,15383.201316318333,0.4896666666666667,10.98868686868687,0.02,0.09481990079172734,0.033352205716315766,6,0.6482573232219031,-0.008570287123504694
4,0.01,3,0.023938317554986127,7.040525505079864,294.11112493214415,121.74813080778479,12174.813080778478,0.4693333333333333,8.598989898989899,0.1,0.07086956095918043,0.034323940892716426,5,0.5156744245602651,-0.007844082752542688
4,0.01,4,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10471965298086663,0.03512317154333587,5,0.6645980907733409,-0.008681114659003267
4,0.01,5,0.019142729717469907,6.794925277614628,354.96114597561757,150.43305918264872,15043.305918264872,0.49633333333333335,10.646060606060606,0.02,0.08308070659167865,0.033773864939085727,5,0.5934812506461217,-0.008103275603081323
4,0.01,6,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.10453483841369268,0.0354999035176312,4,0.6604012207189562,-0.008198556670804375
4,0.01,7,0.03805772015144693,6.851168091696783,180.02045483631804,112.45297593876126,11245.297593876126,0.48233333333333334,8.283030303030303,0.06,0.07259101093346004,0.03512641924143903,8,0.5161051101266881,-0.008442981249630518
4,0.01,8,0.019605881282175247,6.851368529701643,349.454759574138,147.69128450066796,14769.128450066797,0.4896666666666667,10.526060606060605,0.02,0.07930581720727417,0.03143551441811322,5,0.6036165375365445,-0.008614876584445359
4,0.01,9,0.019652385352453675,6.851503630921538,348.63470810509534,155.51711387543781,15551.71138754378,0.4896666666666667,11.120606060606061,0.02,0.07760580003725802,0.03536916263750939,6,0.5442458859965507,-0.007887179702824747
4,0.01,10,0.01966551334081909,6.851961918471289,348.4252762550005,158.24818546985344,15824.818546985343,0.4896666666666667,11.33090909090909,0.02,0.10155620279955958,0.035835193724078826,5,0.6471392909913501,-0.008460346333576278
4,0.01,11,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.1523977633110172,0.03674589478616297,4,0.7588816660571913,-0.007341506525408972
4,0.01,12,0.020001282865245176,6.85137480509966,342.5467681877952,141.12346726638216,14112.346726638216,0.48,10.066060606060606,0.06,0.10360588753590663,0.03356679876478043,7,0.676014562848591,-0.008483207731639271
4,0.01,13,0.019711250197162952,6.808097223554893,345.3914467857947,172.68958320400338,17268.95832040034,0.49633333333333335,12.604646464646464,0.02,0.09810732312247974,0.03515072368364634,9,0.6417115199467499,-0.007670898027039895
4,0.01,14,0.019716604520884362,6.715688272904551,340.6107915686553,174.11702229420024,17411.702229420025,0.494,12.818383838383838,0.02,0.0978285607838235,0.03616808218382684,7,0.6302911757666639,-0.007360788237149995
4,0.01,15,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.07790107861095752,0.03473713909822309,6,0.554086545172213,-0.008172754660659465
4,0.01,16,0.02061836435921402,6.851082865334287,332.280618674422,143.1167269083517,14311.67269083517,0.486,10.003838383838383,0.04,0.07324227818946802,0.035820227607977345,6,0.510935097959198,-0.00801509486700441
4,0.01,17,0.025616124592691275,6.809306070157894,265.8210864613263,128.04275515536804,12804.275515536805,0.49266666666666664,9.408282828282829,0.04,0.07144081301504385,0.03333142137189808,8,0.5334400608671793,-0.008579887942959656
4,0.01,18,0.030062798753334275,6.844691344743001,227.6797779509419,119.73379228708889,11973.379228708889,0.486,8.723434343434343,0.04,0.06846894140610142,0.03430881172849556,6,0.49891423725972456,-0.007772294509747718
4,0.01,19,0.019717140514500877,6.249993134417438,316.9827353931423,175.55427190999586,17555.427190999588,0.5,12.878787878787879,0.0,0.12457819246052422,0.03503193011307879,7,0.7187956461627137,-0.0077783884786987
4,0.03,0,0.04956638017598469,7.300354780241623,147.2844043547627,89.5010109541306,8950.101095413062,0.44,6.452121212121212,0.12,0.05132120934916231,0.03321523409452912,6,0.35279712781999606,-0.008550194737919105
4,0.03,1,0.049044192552412325,7.555428928084072,154.0534879845309,85.28289123938137,8528.289123938137,0.419,6.576969696969697,0.22,0.05313141733166076,0.03330908343650373,4,0.37308121805636446,-0.008291169768829697
4,0.03,2,0.03032725455573908,7.662118590179373,252.64794662164388,110.62976653253104,11062.976653253103,0.473,8.128282828282828,0.1,0.06467461999693871,0.03429911207829091,9,0.46966658513162646,-0.00820085810722915
4,0.03,3,0.03898510026950024,7.324768638819786,187.88636140947096,91.10827948545716,9110.827948545717,0.44733333333333336,6.5476767676767675,0.14,0.05616835360106769,0.034646362033279754,5,0.38316935049666173,-0.00881874177193772
4,0.03,4,0.04042253338706989,7.041486887403437,174.19707023251107,104.83626395642548,10483.626395642548,0.43799999999999994,7.471515151515152,0.12,0.061102093618829484,0.03347715720893578,5,0.4521111270298713,-0.007833870101402966
4,0.03,5,0.051179038831178324,7.011022254125978,136.99011185522411,97.46817277253338,9746.817277253338,0.467,7.128686868686868,0.08,0.055404444788433434,0.03665446836974292,5,0.33842007604784935,-0.007381855087122493
4,0.03,6,0.02182106919432586,6.940786984503487,318.07730971809127,138.25114960801224,13825.114960801224,0.4756666666666666,9.541010101010102,0.06,0.08294720188599651,0.03476196403028282,4,0.5809145668583249,-0.008480565493635095
4,0.03,7,0.032107162023270575,6.9149791017871545,215.37185680800215,120.84816367561895,12084.816367561894,0.4793333333333333,8.618181818181819,0.04,0.06606714802246992,0.033460443532427026,8,0.4935388535154131,-0.008198053987683064
4,0.03,8,0.07186970116248484,7.295217842556218,101.50616636157989,78.1763484330438,7817.6348433043795,0.4503333333333333,5.98989898989899,0.16,0.050821434604032524,0.03471380366572315,11,0.31694561682112143,-0.008058376022550134
4,0.03,9,0.029893600648955188,7.271954437076334,243.26124251380526,107.16656132116871,10716.656132116872,0.46799999999999997,7.50020202020202,0.1,0.06730662260989612,0.03400636247354959,4,0.4947545849886454,-0.008862819627550079
4,0.03,10,0.049772083906771,7.190575220589599,144.4700453784173,88.43321014092388,8843.321014092387,0.452,6.678383838383838,0.18,0.06866139707273762,0.035868139070308516,23,0.47760837094079234,-0.00789879602636249
