m,t,model,variance_mean,sem_total,sem_network,sem_runs
5,29,model1_fixed_q,0.048982211608303884,9.195651043974701e-05,8.859119213995875e-05,9.195651043974701e-05
5,29,model3_dynamic_q,0.0704179976320881,0.0003457536304060423,0.0003457536304060422,0.0003022081381464743
5,30,model1_fixed_q,0.04889880012073381,0.0001018805673477531,0.00010188056734775308,9.265491536871168e-05
5,30,model3_dynamic_q,0.0704110321960578,0.00035907088927968495,0.00035907088927968495,0.00030583538528025346
5,31,model1_fixed_q,0.04887758419286633,9.369064495663799e-05,7.924122224777479e-05,9.369064495663799e-05
5,31,model3_dynamic_q,0.07054465622064818,0.00035763966755016855,0.00035763966755016855,0.0002907888638914163
5,32,model1_fixed_q,0.04888618109774709,9.115303240791298e-05,7.121149402842122e-05,9.115303240791298e-05
5,32,model3_dynamic_q,0.0707109122008848,0.0003341305937992838,0.0003341305937992838,0.0002982677590460328
5,33,model1_fixed_q,0.048930815185865506,9.110350071173341e-05,9.081145667366225e-05,9.110350071173341e-05
5,33,model3_dynamic_q,0.07073437667540255,0.000355917790417522,0.000355917790417522,0.000307736652366839
5,34,model1_fixed_q,0.04892012666328322,8.97028742053646e-05,7.62176463480923e-05,8.97028742053646e-05
5,34,model3_dynamic_q,0.07099118767644617,0.00036751435059216125,0.00036751435059216125,0.0003147317414712044
5,35,model1_fixed_q,0.04896090597562221,9.049313552710434e-05,7.68927793366559e-05,9.049313552710434e-05
5,35,model3_dynamic_q,0.07106432231250095,0.00037290452364584795,0.0003729045236458479,0.00031658787736292115
5,36,model1_fixed_q,0.049069984607152624,9.584654650405295e-05,9.362519385704912e-05,9.584654650405295e-05
5,36,model3_dynamic_q,0.07104665363730775,0.0003574701577399987,0.00035747015773999867,0.0003036990146806007
5,37,model1_fixed_q,0.04903170254892061,0.00010014690591897391,0.00010014690591897391,9.63144719764265e-05
5,37,model3_dynamic_q,0.07093214243825284,0.0003383958353251795,0.0003383958353251795,0.0003023369900373036
5,38,model1_fixed_q,0.04898434005204998,9.09048221514638e-05,7.111669891933285e-05,9.09048221514638e-05
5,38,model3_dynamic_q,0.07063482726419865,0.0003038140304612841,0.0003027763149227032,0.0003038140304612841
5,39,model1_fixed_q,0.0489679024900621,8.847873867724199e-05,7.67716231352733e-05,8.847873867724199e-05
5,39,model3_dynamic_q,0.07026673162197507,0.00029038841547910515,0.00029038841547910515,0.0002825400272566314
5,40,model1_fixed_q,0.048998827272978725,9.125556685329979e-05,9.12555668532998e-05,9.105363680585654e-05
5,40,model3_dynamic_q,0.07021367988689514,0.0002900461226615918,0.0002900461226615918,0.00027632889139061784
5,41,model1_fixed_q,0.04902677724637514,9.466899537615934e-05,9.466899537615934e-05,9.257516898226763e-05
5,41,model3_dynamic_q,0.0701056018384884,0.00031285641515195256,0.00031285641515195256,0.0002834934753139859
5,42,model1_fixed_q,0.04896939088450771,8.910217450503513e-05,8.81842288823036e-05,8.910217450503513e-05
5,42,model3_dynamic_q,0.07004720279098514,0.00030370251358839175,0.00030370251358839175,0.00028438352998564026
5,43,model1_fixed_q,0.04891805380481447,9.173941568418894e-05,8.651315391773124e-05,9.173941568418894e-05
5,43,model3_dynamic_q,0.06996933366661554,0.0002925241715956959,0.00028216302657265693,0.0002925241715956959
5,44,model1_fixed_q,0.049066934629246044,0.0001000964553842829,0.0001000964553842829,9.322145347720526e-05
5,44,model3_dynamic_q,0.07000539437342265,0.0003035178105905486,0.0003035178105905486,0.00028203349995257196
5,45,model1_fixed_q,0.04911628768027739,9.341440560816108e-05,9.341440560816108e-05,8.996644736904616e-05
5,45,model3_dynamic_q,0.07006159176674748,0.0003189931480262931,0.00031899314802629305,0.0002980094393764804
5,46,model1_fixed_q,0.04895385020819573,8.877801249139481e-05,8.756380244980394e-05,8.877801249139481e-05
5,46,model3_dynamic_q,0.06997108057887004,0.0003053404416771749,0.0003053404416771749,0.00029959311585882033
5,47,model1_fixed_q,0.048950521063672224,9.136755579234708e-05,8.479508225532047e-05,9.136755579234708e-05
5,47,model3_dynamic_q,0.07026583958827616,0.0003271309145201207,0.0003271309145201207,0.0003044623993826777
5,48,model1_fixed_q,0.048970536612153094,9.012466423979374e-05,8.99935816833595e-05,9.012466423979374e-05
5,48,model3_dynamic_q,0.07028923117561477,0.0003446591499383066,0.0003446591499383066,0.00029957140856234535
5,49,model1_fixed_q,0.048993608318613414,0.00010081813462592047,0.00010081813462592047,9.076398155083509e-05
5,49,model3_dynamic_q,0.07033780628329266,0.0003170391411489817,0.0003170391411489817,0.00030190603009204556
5,50,model1_fixed_q,0.049013941294000364,9.502439526338809e-05,7.828127098987876e-05,9.502439526338809e-05
5,50,model3_dynamic_q,0.07038171804939444,0.0003275648718898181,0.0003275648718898181,0.00030578388418270005
5,51,model1_fixed_q,0.04900924559368689,9.311935662378722e-05,7.104855474764982e-05,9.311935662378722e-05
5,51,model3_dynamic_q,0.07040285332590394,0.00031878521821623857,0.00031878521821623857,0.00030706979091489183
5,52,model1_fixed_q,0.04906334496480696,9.177932938562677e-05,8.874185747409438e-05,9.177932938562677e-05
5,52,model3_dynamic_q,0.07027807210558291,0.00030475749682584014,0.00027330435507592833,0.00030475749682584014
5,53,model1_fixed_q,0.0490487086357893,9.172849538136775e-05,8.570322610155396e-05,9.172849538136775e-05
5,53,model3_dynamic_q,0.07039564578750189,0.000297089066473927,0.00027869063298357165,0.000297089066473927
5,54,model1_fixed_q,0.04900515264138014,8.649513656165699e-05,7.731275047354681e-05,8.649513656165699e-05
5,54,model3_dynamic_q,0.07045804197853767,0.0003266666695153569,0.0003266666695153569,0.00029650852833435046
5,55,model1_fixed_q,0.04892419419950587,9.058316403253324e-05,6.760566863763899e-05,9.058316403253324e-05
5,55,model3_dynamic_q,0.07065537785139903,0.00037004724868202184,0.00037004724868202184,0.00030428725079267627
