m,realization,N,E,k_mean,C,L,lambda2
15,16,1000,14775,29.55,0.08194449461736251,2.3204504504504504,12.089167678574752
15,17,1000,14775,29.55,0.0810479092625805,2.3235495495495497,12.044520467957677
15,18,1000,14775,29.55,0.07797025326972114,2.3307307307307306,12.002277031816682
15,19,1000,14775,29.55,0.07747969142999787,2.3326086086086084,12.140543954853209
15,20,1000,14775,29.55,0.0803168162574511,2.325171171171171,12.026718676960229
15,21,1000,14775,29.55,0.08131215011399141,2.3262602602602604,12.134054457020063
15,22,1000,14775,29.55,0.080800025272094,2.327039039039039,12.144169952902887
15,23,1000,14775,29.55,0.07767968382241824,2.3295095095095095,11.933443958084846
15,24,1000,14775,29.55,0.07892032897287564,2.3272672672672674,11.995804878644401
15,25,1000,14775,29.55,0.07945754277114367,2.327947947947948,12.129206165384085
15,26,1000,14775,29.55,0.08073769269824976,2.3254594594594593,12.133667800986775
15,27,1000,14775,29.55,0.07787632822835683,2.330986986986987,12.16990388424318
15,28,1000,14775,29.55,0.07418419920998423,2.3376576576576578,12.042937734865436
15,29,1000,14775,29.55,0.08045227503401217,2.330022022022022,4.790015531014576
20,0,1000,19600,39.2,0.0980810013414156,2.162134134134134,16.8264883522543
20,1,1000,19600,39.2,0.09454912349666668,2.1659099099099097,16.867149939855395
20,2,1000,19600,39.2,0.09576428392199454,2.1686786786786785,16.821790896921172
20,3,1000,19600,39.2,0.09466500263828591,2.1683403403403405,16.73184501281724
20,4,1000,19600,39.2,0.09477621591844125,2.169923923923924,16.956238440143128
20,5,1000,19600,39.2,0.09950073080208491,2.1597877877877876,16.807271583572334
20,6,1000,19600,39.2,0.09632097412784543,2.1651391391391392,16.457877628593636
20,7,1000,19600,39.2,0.09742434126719968,2.1635555555555555,16.85893783031984
20,8,1000,19600,39.2,0.09353860410477897,2.1668748748748747,16.708650996731166
20,9,1000,19600,39.2,0.09910017162147515,2.1615255255255255,16.898179816676777
20,10,1000,19600,39.2,0.093765319248694,2.169941941941942,0.9957347731805056
20,11,1000,19600,39.2,0.09322736168041967,2.169933933933934,16.71601075008145
20,12,1000,19600,39.2,0.08981746352536667,2.176064064064064,16.776198407729357
20,13,1000,19600,39.2,0.0967387925983368,2.160022022022022,16.90526521457716
20,14,1000,19600,39.2,0.09427732917301816,2.1676116116116115,16.783037536125335
20,15,1000,19600,39.2,0.09303034973045153,2.1695175175175176,16.805412995289128
20,16,1000,19600,39.2,0.09417083830854539,2.1694554554554553,16.789795673479546
20,17,1000,19600,39.2,0.09249371961063216,2.1706286286286285,16.847218607388182
20,18,1000,19600,39.2,0.09579825391077777,2.1673573573573575,16.841105868671114
20,19,1000,19600,39.2,0.0959938866813692,2.1674174174174174,0.9962015783481497
20,20,1000,19600,39.2,0.09966667206197954,2.1588928928928928,16.842309602952557
20,21,1000,19600,39.2,0.09570282980210494,2.1653853853853855,16.908611177976166
20,22,1000,19600,39.2,0.09747522636519738,2.1604824824824824,16.770824645117923
20,23,1000,19600,39.2,0.09480846074406488,2.1672852852852853,16.86721527390301
20,24,1000,19600,39.2,0.0981452402830222,2.1646766766766765,16.878265843720524
20,25,1000,19600,39.2,0.0960846993035259,2.1641541541541542,16.563282444454426
20,26,1000,19600,39.2,0.09563518587730321,2.16595995995996,16.859307507556405
20,27,1000,19600,39.2,0.0971441554145558,2.165647647647648,16.78211438386109
20,28,1000,19600,39.2,0.09356716170334312,2.1685445445445444,16.883753825217596
20,29,1000,19600,39.2,0.09513912986260621,2.1684344344344346,16.84390938815579
25,0,1000,24375,48.75,0.11211023051380258,2.0595695695695695,21.746649326253507
25,1,1000,24375,48.75,0.11279733516383493,2.0574874874874873,21.671803228634065
25,2,1000,24375,48.75,0.10927461058916874,2.0621761761761763,21.639978515701255
25,3,1000,24375,48.75,0.11019238365447695,2.0622522522522524,21.75020724899812
25,4,1000,24375,48.75,0.11020516727113892,2.0625925925925928,21.61868203370442
25,5,1000,24375,48.75,0.11086379662483897,2.062144144144144,21.73837056793977
25,6,1000,24375,48.75,0.11096611661979076,2.0607687687687686,21.7466832440972
25,7,1000,24375,48.75,0.11213604210822738,2.0595415415415417,21.601534512676277
25,8,1000,24375,48.75,0.11139795062436662,2.0607647647647647,21.703753607361726
25,9,1000,24375,48.75,0.11107948168302792,2.0602402402402404,21.661273846834366
25,10,1000,24375,48.75,0.10938915717314664,2.062282282282282,21.743780151692153
25,11,1000,24375,48.75,0.10653029207283754,2.0656976976976975,21.575757311809156
25,12,1000,24375,48.75,0.111415939306374,2.0611551551551552,21.746756523477274
25,13,1000,24375,48.75,0.10973316152792002,2.061971971971972,21.84144138584143
25,14,1000,24375,48.75,0.11029272318904364,2.061931931931932,21.64860814935966
25,15,1000,24375,48.75,0.10801441095182453,2.0653973973973976,21.73121978088089
25,16,1000,24375,48.75,0.10713001398675544,2.066168168168168,21.59870000713209
25,17,1000,24375,48.75,0.11111756474237437,2.061975975975976,21.707412350531758
25,18,1000,24375,48.75,0.11096319047392562,2.0604944944944945,21.639808780624897
25,19,1000,24375,48.75,0.10848319979026781,2.064014014014014,21.685510754677438
25,20,1000,24375,48.75,0.11279357488093032,2.0586546546546547,21.739583402297495
25,21,1000,24375,48.75,0.10700673141295622,2.0645925925925925,21.673611200568292
25,22,1000,24375,48.75,0.1117938943100217,2.060718718718719,4.958524292982932
25,23,1000,24375,48.75,0.11386247296038235,2.0573633633633635,21.670381170271174
25,24,1000,24375,48.75,0.10987072453537841,2.060808808808809,21.694410047821677
25,25,1000,24375,48.75,0.10934974429992476,2.060950950950951,21.753492293462045
25,26,1000,24375,48.75,0.10924761875309011,2.0625145145145147,21.711635431407522
25,27,1000,24375,48.75,0.1063207550832291,2.0663923923923924,21.72703383883081
25,28,1000,24375,48.75,0.11228135255312473,2.0594494494494495,21.661999484316272
25,29,1000,24375,48.75,0.10896391563958494,2.062820820820821,21.7406369132852
30,0,1000,29100,58.2,0.124497367893526,1.9975215215215216,26.52357277326951
30,1,1000,29100,58.2,0.12266194414029215,1.9998318318318318,26.51567866583229
30,2,1000,29100,58.2,0.12544000853181006,1.9972512512512512,26.5448269109619
30,3,1000,29100,58.2,0.1257078007615645,1.996896896896897,26.628057840577995
30,4,1000,29100,58.2,0.12341743650453149,1.9984364364364364,26.515973293542423
30,5,1000,29100,58.2,0.12490869260686902,1.9972852852852854,26.411929744581
30,6,1000,29100,58.2,0.12311624293007822,1.9994334334334334,26.447493549355233
30,7,1000,29100,58.2,0.12184460881196386,1.99997997997998,26.489120199080627
30,8,1000,29100,58.2,0.12159257533705342,2.0007467467467466,26.505295204592
30,9,1000,29100,58.2,0.12756192503860506,1.9966286286286286,26.596256098805693
30,10,1000,29100,58.2,0.12309382295866783,1.999151151151151,26.572342635368678
30,11,1000,29100,58.2,0.126451843124225,1.9964164164164164,26.404317790245518
30,12,1000,29100,58.2,0.12537408825002877,1.9976256256256257,26.458435494981963
30,13,1000,29100,58.2,0.1217313246823385,1.999881881881882,26.512726209242572
30,14,1000,29100,58.2,0.12199421233888823,2.0003763763763764,15.557601349957915
30,15,1000,29100,58.2,0.12192968896663063,2.000156156156156,26.368789415302565
30,16,1000,29100,58.2,0.1237732340766189,1.9976416416416416,26.582218250214478
30,17,1000,29100,58.2,0.12595775562806244,1.9955335335335336,26.595799375802823
30,18,1000,29100,58.2,0.12528360334956645,1.9986226226226227,26.558799934062282
30,19,1000,29100,58.2,0.12595546772217694,1.9973553553553554,26.612393358653875
30,20,1000,29100,58.2,0.12372786585073427,1.9967987987987987,26.576042621025913
30,21,1000,29100,58.2,0.12674930237621954,1.9967607607607607,26.558862232214
30,22,1000,29100,58.2,0.12589686460268093,1.9971531531531532,26.631371827544754
30,23,1000,29100,58.2,0.12259632940445148,2.000002002002002,26.630957996571723
30,24,1000,29100,58.2,0.12404010473661975,1.998104104104104,26.56201404274128
30,25,1000,29100,58.2,0.1266736567932191,1.9962142142142143,26.536051465041737
30,26,1000,29100,58.2,0.12280450044653268,1.9992492492492493,26.444588095762107
30,27,1000,29100,58.2,0.12594331939763478,1.9956716716716716,26.431260557037128
30,28,1000,29100,58.2,0.12418747810528698,1.9982042042042043,26.531559598749816
30,29,1000,29100,58.2,0.124544685048372,1.9974334334334334,26.544998266702468
40,0,1000,38400,76.8,0.1511544548982875,1.9353693693693694,36.34240718130957
40,1,1000,38400,76.8,0.1500657272628171,1.9351971971971973,36.32485464661099
40,2,1000,38400,76.8,0.15128332989378737,1.9348888888888889,22.54684210025681
40,3,1000,38400,76.8,0.1498846682221078,1.935087087087087,36.38745588622804
40,4,1000,38400,76.8,0.151376496005623,1.9352432432432431,36.45049457915821
40,5,1000,38400,76.8,0.1509949586453903,1.9349009009009008,33.136507154299146
40,6,1000,38400,76.8,0.14979080221758775,1.9355415415415416,36.465032438999096
40,7,1000,38400,76.8,0.14870572178025962,1.9354334334334333,36.46548676889526
40,8,1000,38400,76.8,0.1504376900013535,1.9351231231231232,36.36616315542323
40,9,1000,38400,76.8,0.15159637422556085,1.934902902902903,36.33913056464725
40,10,1000,38400,76.8,0.149693913247083,1.9356436436436437,36.34344379865331
40,11,1000,38400,76.8,0.14960197983497348,1.9349089089089089,36.10241422704791
