k,p,realization,N,E,k_mean,C,L,lambda2
6,0.0,0,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,1,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,2,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,3,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,4,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,5,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,6,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,7,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,8,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,9,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,10,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,11,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,12,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,13,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,14,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,15,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,16,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,17,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,18,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,19,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,20,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,21,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,22,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,23,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,24,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,25,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,26,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,27,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,28,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.0,29,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.01,0,100,300,6.0,0.5791428571428571,5.445454545454545,0.10139358136696362
6,0.01,1,100,300,6.0,0.5546666666666666,4.885050505050505,0.11386537856003037
6,0.01,2,100,300,6.0,0.5942857142857142,8.485050505050506,0.05512631334695294
6,0.01,3,100,300,6.0,0.5934761904761905,6.191717171717172,0.07966133474801435
6,0.01,4,100,300,6.0,0.5906190476190476,6.454545454545454,0.05867699926424529
6,0.01,5,100,300,6.0,0.5825238095238096,7.534949494949495,0.05701869397439435
6,0.01,6,100,300,6.0,0.585547619047619,6.1842424242424245,0.06275836410169153
6,0.01,7,100,300,6.0,0.5638095238095238,5.497575757575758,0.07067749701670209
6,0.01,8,100,300,6.0,0.591952380952381,8.019191919191918,0.055112443392184185
6,0.01,9,100,300,6.0,0.5744047619047619,5.211313131313132,0.11152214284473295
6,0.01,10,100,300,6.0,0.5818095238095238,5.86,0.0709752122673316
6,0.01,11,100,300,6.0,0.5805238095238096,5.573333333333333,0.08845325200466467
6,0.01,12,100,300,6.0,0.5757380952380953,5.973131313131313,0.0819070739819981
6,0.01,13,100,300,6.0,0.5881428571428571,6.746262626262626,0.05985024735725511
6,0.01,14,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.01,15,100,300,6.0,0.5871904761904762,6.204848484848485,0.06612330321079632
6,0.01,16,100,300,6.0,0.5795238095238094,6.587474747474747,0.05649641469340676
6,0.01,17,100,300,6.0,0.5909047619047619,6.971111111111111,0.05626367728331605
6,0.01,18,100,300,6.0,0.5909047619047619,6.951919191919192,0.054808817400141235
6,0.01,19,100,300,6.0,0.5853809523809523,6.14929292929293,0.061635234587188184
6,0.01,20,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.01,21,100,300,6.0,0.5789523809523809,7.019191919191919,0.06479766387808986
6,0.01,22,100,300,6.0,0.5785238095238094,5.558181818181819,0.08102039588554283
6,0.01,23,100,300,6.0,0.5823333333333334,6.897777777777778,0.05601152162476419
6,0.01,24,100,300,6.0,0.5846666666666667,6.697373737373737,0.05707227468430209
6,0.01,25,100,300,6.0,0.5909047619047619,6.848888888888889,0.06404115544875157
6,0.01,26,100,300,6.0,0.5784285714285714,5.477979797979798,0.09123533458900718
6,0.01,27,100,300,6.0,0.5573809523809523,5.063030303030303,0.13621397911276262
6,0.01,28,100,300,6.0,0.591952380952381,7.537373737373738,0.055083227529780364
6,0.01,29,100,300,6.0,0.6,8.757575757575758,0.05514263905712882
6,0.03,0,100,300,6.0,0.5529047619047619,5.057575757575758,0.11987816815360675
6,0.03,1,100,300,6.0,0.5305,4.792727272727273,0.09454700392756536
6,0.03,2,100,300,6.0,0.557047619047619,5.0218181818181815,0.12159010638669826
6,0.03,3,100,300,6.0,0.5586190476190476,4.8004040404040405,0.11449900624368303
6,0.03,4,100,300,6.0,0.5554285714285715,5.095959595959596,0.09431760284955182
6,0.03,5,100,300,6.0,0.5762857142857143,5.247878787878788,0.08974697422347491
6,0.03,6,100,300,6.0,0.513095238095238,4.109090909090909,0.22934248228336993
6,0.03,7,100,300,6.0,0.5653333333333334,5.149090909090909,0.11715116728780092
6,0.03,8,100,300,6.0,0.5545238095238095,5.0452525252525255,0.09429388687333368
6,0.03,9,100,300,6.0,0.5607142857142857,4.863232323232324,0.11404480920577842
6,0.03,10,100,300,6.0,0.5579523809523809,4.7531313131313135,0.11043071360106649
6,0.03,11,100,300,6.0,0.5668571428571428,4.946666666666666,0.11658097926574854
6,0.03,12,100,300,6.0,0.5571904761904761,4.911313131313132,0.11362398142442957
6,0.03,13,100,300,6.0,0.5588095238095238,5.003030303030303,0.11091244903647043
6,0.03,14,100,300,6.0,0.5624285714285714,5.189090909090909,0.10509342494782839
6,0.03,15,100,300,6.0,0.546047619047619,4.746060606060606,0.1319572965054343
6,0.03,16,100,300,6.0,0.5537142857142857,4.775757575757575,0.1252639332069255
6,0.03,17,100,300,6.0,0.5287857142857143,4.2143434343434345,0.19993801066536512
6,0.03,18,100,300,6.0,0.5625238095238095,5.691919191919192,0.07626095430218083
6,0.03,19,100,300,6.0,0.5420238095238095,4.5765656565656565,0.14421190935903455
6,0.03,20,100,300,6.0,0.5504285714285715,4.53010101010101,0.19664697476835102
6,0.03,21,100,300,6.0,0.545404761904762,4.7727272727272725,0.1266109037522779
6,0.03,22,100,300,6.0,0.548142857142857,4.726060606060606,0.13332468506487455
6,0.03,23,100,300,6.0,0.5548095238095239,5.002424242424242,0.09908094097583994
6,0.03,24,100,300,6.0,0.5340714285714285,4.461010101010101,0.1534117955874818
6,0.03,25,100,300,6.0,0.5682380952380952,5.612727272727272,0.0834220962852304
6,0.03,26,100,300,6.0,0.5197142857142857,4.5353535353535355,0.1169821214652673
6,0.03,27,100,300,6.0,0.5182142857142857,4.168686868686868,0.2055782390581186
6,0.03,28,100,300,6.0,0.5523571428571429,4.57010101010101,0.15508414965914852
6,0.03,29,100,300,6.0,0.5541904761904761,4.794545454545455,0.15535065552921884
6,0.05,0,100,300,6.0,0.5289047619047619,4.302020202020202,0.1798459360587038
6,0.05,1,100,300,6.0,0.49838095238095237,3.9452525252525255,0.24539397925935683
6,0.05,2,100,300,6.0,0.5331269841269841,4.366666666666666,0.14912488111511635
6,0.05,3,100,300,6.0,0.5400952380952381,4.953131313131313,0.1105513733530023
6,0.05,4,100,300,6.0,0.5169761904761905,4.284040404040404,0.2174548711061184
6,0.05,5,100,300,6.0,0.5296190476190477,4.47050505050505,0.16219314180137362
6,0.05,6,100,300,6.0,0.49864285714285717,4.046666666666667,0.20179613059643964
6,0.05,7,100,300,6.0,0.5356190476190477,4.4363636363636365,0.1673742798164809
6,0.05,8,100,300,6.0,0.532595238095238,4.6036363636363635,0.10632271748018055
6,0.05,9,100,300,6.0,0.5361190476190476,4.421818181818182,0.13202600190555125
6,0.05,10,100,300,6.0,0.5320714285714285,4.32949494949495,0.15664062282392777
6,0.05,11,100,300,6.0,0.544404761904762,4.707474747474747,0.11347833485592165
6,0.05,12,100,300,6.0,0.523547619047619,4.450909090909091,0.15119404691770166
6,0.05,13,100,300,6.0,0.49780952380952376,4.081818181818182,0.22696950539994554
6,0.05,14,100,300,6.0,0.5226190476190475,4.454949494949495,0.1417784414892463
6,0.05,15,100,300,6.0,0.5427619047619047,4.67939393939394,0.16076811417311715
6,0.05,16,100,300,6.0,0.5138333333333334,4.10040404040404,0.22371332998893906
6,0.05,17,100,300,6.0,0.5607777777777777,5.422020202020202,0.09598184065105628
6,0.05,18,100,300,6.0,0.5358571428571428,4.422626262626262,0.13550132720776642
6,0.05,19,100,300,6.0,0.521,4.14929292929293,0.16498614716392654
6,0.05,20,100,300,6.0,0.5250952380952381,4.241616161616162,0.16442079158395506
6,0.05,21,100,300,6.0,0.5042301587301588,3.958181818181818,0.27263356884944795
6,0.05,22,100,300,6.0,0.5311428571428571,4.412727272727273,0.16525145209869618
6,0.05,23,100,300,6.0,0.49247619047619046,4.044242424242424,0.20276894337561865
6,0.05,24,100,300,6.0,0.5310238095238095,4.111717171717172,0.18929435562208596
6,0.05,25,100,300,6.0,0.5334285714285714,4.647272727272727,0.12250849295792975
6,0.05,26,100,300,6.0,0.5556666666666666,4.4086868686868685,0.17600450172460141
6,0.05,27,100,300,6.0,0.5333333333333333,4.537171717171717,0.13779333189287404
6,0.05,28,100,300,6.0,0.5053095238095238,4.15010101010101,0.24555972467384832
6,0.05,29,100,300,6.0,0.5077380952380952,4.03030303030303,0.18753613040068418
6,0.1,0,100,300,6.0,0.47304761904761905,3.8004040404040405,0.27835279130610135
6,0.1,1,100,300,6.0,0.469,3.7317171717171718,0.3269157127360125
6,0.1,2,100,300,6.0,0.42978571428571427,3.7381818181818183,0.24680773476898393
6,0.1,3,100,300,6.0,0.4353333333333333,3.7317171717171718,0.29728316838306207
6,0.1,4,100,300,6.0,0.4425,3.5668686868686867,0.3733909419701064
6,0.1,5,100,300,6.0,0.4895952380952381,3.946868686868687,0.23792971545943947
6,0.1,6,100,300,6.0,0.43423809523809526,3.563838383838384,0.4097663948258078
6,0.1,7,100,300,6.0,0.4505952380952381,3.6606060606060606,0.34388173687318513
