deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.001,0.0005570860145311559
10,0.006,0.0014060624076664852
11,0.04233333333333334,0.004031010065181414
12,0.11633333333333333,0.006149167466933916
13,0.224,0.006874908567835063
14,0.24400000000000002,0.0077696728433026075
15,0.20400000000000001,0.00832666399786453
16,0.09766666666666665,0.005066984261068482
17,0.04900000000000002,0.00381617850615044
18,0.012333333333333337,0.0018372476499380985
19,0.003,0.0009767410038007758
20,0.0003333333333333333,0.00033333333333333343
