deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0006666666666666666,0.00046320555585310075
8,0.006333333333333333,0.0013964925960710376
9,0.015666666666666672,0.0026988006418063857
10,0.050333333333333355,0.0037288355500594244
11,0.08033333333333334,0.0056828706792507715
12,0.1396666666666667,0.0050850995612566645
13,0.15733333333333335,0.00824806955238595
14,0.15033333333333332,0.007841582841234204
15,0.14100000000000001,0.0074177482099183675
16,0.09866666666666667,0.005180274996768569
17,0.07000000000000002,0.004623776632237719
18,0.04200000000000002,0.0025551390631791274
19,0.021000000000000005,0.0021629056658902697
20,0.014333333333333335,0.0020724427994731533
21,0.008333333333333335,0.0016666666666666666
22,0.003,0.0009767410038007758
23,0.0,0.0
24,0.0006666666666666666,0.00046320555585310075
25,0.0003333333333333333,0.0003333333333333335
