deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.001,0.0005570860145311556
11,0.011000000000000001,0.002109093611499728
12,0.0676666666666667,0.004253013355888267
13,0.23033333333333336,0.007151614773583082
14,0.3933333333333333,0.010595307281927572
15,0.213,0.008375525373811265
16,0.06433333333333335,0.0037040932106805796
17,0.017000000000000005,0.00204264871994757
18,0.0016666666666666668,0.000692045665447833
19,0.0006666666666666666,0.0004632055558531008
