deg,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0026666666666666666,0.0008211756827352531
12,0.031000000000000014,0.003045629995414006
13,0.18733333333333332,0.006286883505725184
14,0.559,0.010508343701855294
15,0.18566666666666667,0.007138745395638846
16,0.032333333333333346,0.002864099358279949
17,0.0013333333333333333,0.0006312427686319993
18,0.0003333333333333333,0.0003333333333333335
19,0.0003333333333333333,0.0003333333333333334
