m,t,model,variance_mean,sem_total,sem_network,sem_runs
10,0,model1_fixed_q,0.0831964552073102,9.748802627905394e-05,9.748802627905394e-05,8.005782995449579e-05
10,0,model3_dynamic_q,0.08322169335661395,7.979044607116092e-05,7.91405428575061e-05,7.979044607116092e-05
10,1,model1_fixed_q,0.06392324290968973,0.00011042796224072603,0.00011042796224072603,9.926240762630039e-05
10,1,model3_dynamic_q,0.07176929617857622,0.00014369779999156732,0.0001436977999915673,0.00012661310628448908
10,2,model1_fixed_q,0.05556597389578206,0.00010903463631908655,0.00010903463631908655,9.978925209933586e-05
10,2,model3_dynamic_q,0.0668150988758878,0.00017536945899372224,0.00017536945899372224,0.00015180451053323484
10,3,model1_fixed_q,0.051444231291909885,0.00010596949644540425,0.00010596949644540426,9.550370246692553e-05
10,3,model3_dynamic_q,0.06420437314299364,0.00020432423891462775,0.00020432423891462772,0.00016952984281749282
10,4,model1_fixed_q,0.0491422543531586,9.36852630722776e-05,9.368526307227758e-05,8.780262380533207e-05
10,4,model3_dynamic_q,0.06293946177028459,0.0002101259862490381,0.0002101259862490381,0.00017806214056878287
10,5,model1_fixed_q,0.04801892630450724,8.723012288687891e-05,7.891785964912584e-05,8.723012288687891e-05
10,5,model3_dynamic_q,0.06231647419457096,0.00018888984140920032,0.0001888898414092003,0.0001757235840728216
10,6,model1_fixed_q,0.04726595217304421,8.618536076243275e-05,7.332735980023205e-05,8.618536076243275e-05
10,6,model3_dynamic_q,0.06182291421796712,0.00019720176750713175,0.00019720176750713173,0.00018142805949467755
10,7,model1_fixed_q,0.04702315484211495,8.688168954769584e-05,6.801833407639454e-05,8.688168954769584e-05
10,7,model3_dynamic_q,0.06158572947362156,0.00019304777086436923,0.00019304777086436923,0.00018340093493397446
10,8,model1_fixed_q,0.04680071734052444,8.241022599196374e-05,7.331035528939659e-05,8.241022599196374e-05
10,8,model3_dynamic_q,0.061580094564168686,0.00020880159133309035,0.00020880159133309035,0.00018554068969300314
10,9,model1_fixed_q,0.04687547973945214,8.275161348637309e-05,6.276768678621875e-05,8.275161348637309e-05
10,9,model3_dynamic_q,0.06139591343141788,0.00019284405296497907,0.00019284405296497907,0.00018312135612112926
10,10,model1_fixed_q,0.04685606516880916,8.266436985172866e-05,7.18576505876007e-05,8.266436985172866e-05
10,10,model3_dynamic_q,0.061249996155949414,0.00019304547195503452,0.0001930454719550345,0.00018561753415672586
