k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.019000000000000006,0.002892822333402378
5,0.07600000000000003,0.0048882243035794975
6,0.14100000000000001,0.007287335806582179
7,0.18650000000000003,0.0061676149104990755
8,0.20600000000000002,0.009072804939691155
9,0.16600000000000004,0.008926601286397627
10,0.09600000000000004,0.004723959088908816
11,0.05650000000000001,0.005245298646858617
12,0.03300000000000001,0.0039802142232746585
13,0.011500000000000002,0.0024360235069300516
14,0.004,0.001337712108119877
15,0.0045000000000000005,0.001534686664402456
