k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.013000000000000001,0.0020647416048350563
5,0.06850000000000002,0.004308803717238023
6,0.152,0.006181466356439181
7,0.18350000000000005,0.009069178573608528
8,0.21400000000000005,0.010397368088025678
9,0.17450000000000002,0.007450715260613361
10,0.09900000000000002,0.005933845828447979
11,0.04750000000000001,0.0057981394474979275
12,0.027000000000000003,0.0037063246087280536
13,0.011,0.0022826577307580457
14,0.005999999999999999,0.001337712108119877
15,0.002,0.0009176629354822469
16,0.001,0.0006882472016116853
17,0.001,0.0006882472016116853
