k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.012,0.0026754242162397544
5,0.06350000000000001,0.0046040599932073685
6,0.136,0.007048702754856086
7,0.21800000000000003,0.007276494239745718
8,0.203,0.010364412797239354
9,0.16299999999999998,0.008678467000207133
10,0.10800000000000001,0.006095727580596275
11,0.05900000000000001,0.004696022953409338
12,0.025000000000000012,0.002856202852887397
13,0.006500000000000001,0.001666228012450182
14,0.0045,0.0016975214129336985
15,0.0005,0.0005000000000000002
16,0.0,0.0
17,0.0005,0.0005000000000000001
18,0.0005,0.0005000000000000001
