m,realization,N,E,k_mean,C,L,lambda2
125,0,1000,109375,218.75,0.3109561979830965,1.781031031031031,120.62212580810586
125,1,1000,109375,218.75,0.313425093869601,1.781031031031031,120.45613871437834
125,2,1000,109375,218.75,0.3126344753920007,1.781031031031031,120.52462313258081
125,3,1000,109375,218.75,0.3112378803817546,1.781031031031031,120.56924541987519
125,4,1000,109375,218.75,0.3112574288254047,1.781031031031031,120.54233109749735
125,5,1000,109375,218.75,0.3137432474078501,1.781031031031031,112.56596379903495
125,6,1000,109375,218.75,0.3138843391481715,1.781031031031031,120.51653105317307
125,7,1000,109375,218.75,0.31038837346197234,1.781031031031031,120.44188554510897
125,8,1000,109375,218.75,0.3122097744948625,1.781031031031031,120.87519836339936
125,9,1000,109375,218.75,0.3114007507446864,1.781031031031031,120.73823291737754
125,10,1000,109375,218.75,0.310387129706045,1.781031031031031,120.58073219546425
125,11,1000,109375,218.75,0.3119363721885572,1.781031031031031,120.53394981050155
125,12,1000,109375,218.75,0.31262525979934086,1.781031031031031,120.54468910632599
125,13,1000,109375,218.75,0.31248149728734287,1.781031031031031,120.54202004085383
125,14,1000,109375,218.75,0.312948997317431,1.781031031031031,120.58340009741521
125,15,1000,109375,218.75,0.3105390888389928,1.781031031031031,120.42573321749342
125,16,1000,109375,218.75,0.31210366683670693,1.781031031031031,120.30819068898671
125,17,1000,109375,218.75,0.3113489790535903,1.781031031031031,120.36818244938
125,18,1000,109375,218.75,0.3129662506516013,1.781031031031031,120.44886140788172
125,19,1000,109375,218.75,0.31126768363572566,1.781031031031031,120.66297889740125
125,20,1000,109375,218.75,0.312797614363722,1.781031031031031,120.51587052609656
125,21,1000,109375,218.75,0.31139890313674257,1.781031031031031,120.7249730603226
125,22,1000,109375,218.75,0.31387401212779664,1.781031031031031,120.64173423915403
125,23,1000,109375,218.75,0.31150722185599466,1.781031031031031,120.54933577404957
125,24,1000,109375,218.75,0.3130516872386526,1.781031031031031,120.65575049178499
125,25,1000,109375,218.75,0.312868260286926,1.781031031031031,120.5814529462237
125,26,1000,109375,218.75,0.3130501556795622,1.781031031031031,120.62241591226268
125,27,1000,109375,218.75,0.3119416056508566,1.781031031031031,120.72277804742542
125,28,1000,109375,218.75,0.31316925589776395,1.781031031031031,120.5901810810495
125,29,1000,109375,218.75,0.3123372179442959,1.781031031031031,120.7025202105614
