k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
8,0.0,0.11797631679985265,0.0,0.6428571428571428,2.54702629954375e-17,6.696969696969698,2.037621039635e-16,0.0,0.0,0.39690606806417367,0.014070143569613865,8.75,0.8610733815541232,0.046735881177819856,0.0008633897827776614
8,0.01,0.1416925581253509,0.004874524949881015,0.626040873015873,0.0017264160037618723,4.958818181818183,0.10537342026428703,0.08000000000000002,0.008078561622884166,0.3078050547121706,0.011851099749814901,8.9,1.6636991124725964,0.040843828778727956,0.000581853636755996
8,0.03,0.24279447109775373,0.01403729595535567,0.5828626984126984,0.0049982351946394775,3.829919191919191,0.05863234860038136,0.257,0.015578325023131202,0.19192017576116718,0.010899887315822409,116.9,39.594051919049924,0.03285183899751498,0.0005157347034845191
8,0.05,0.33680542636625177,0.01664552187389963,0.5564253968253968,0.004674803139689366,3.4701313131313127,0.039600419290672116,0.366,0.017597846758234822,0.15665362204211286,0.00669932968220434,137.05,31.4649742612823,0.030410203661985206,0.0004239899760563568
8,0.1,0.6162930952534723,0.026934587623763804,0.48089509379509376,0.006361165372169414,3.046111111111111,0.026046960870192846,0.779,0.03625857430355357,0.13779067243443627,0.0067676905824748034,203.3,35.34581788706074,0.026611618682972356,0.0002696474940540386
8,0.2,1.1171349352143305,0.03134964928162565,0.3536207736707737,0.00578694533029361,2.7295555555555553,0.009985367800890136,1.4590000000000003,0.04531701202580956,0.11763458093571448,0.003998837972181213,290.85,29.131577639899174,0.023666715750401756,9.333224641355713e-05
8,0.3,1.5251340842230081,0.027505351887268915,0.259434521034521,0.004112928207517126,2.5971414141414138,0.005966940121986018,2.0149999999999997,0.07678918509379053,0.11329102050952633,0.0027309594496561784,251.25,32.55302354782522,0.022609693025831837,7.133591032047301e-05
8,0.4,1.9913108279231584,0.037444002531502395,0.1890088494838495,0.004525050242815609,2.514080808080808,0.0042461718593343025,2.573,0.08086733775628743,0.10948039875577809,0.0032670659183974397,298.4,27.428797774755296,0.022040676099942168,3.785094263255918e-05
8,0.5,2.3262595626739393,0.04180662150879572,0.13484976967476967,0.003049734122400542,2.461848484848485,0.0023836885760152937,2.9330000000000003,0.09806845085261405,0.11166751223899676,0.0033659261046282995,295.2,31.419705516392767,0.02175553558920346,4.105726311096224e-05
8,0.7,2.6753146389597386,0.020736631614394242,0.08037632408441231,0.0017566629866876825,2.4209191919191917,0.0014518016385443805,3.4910000000000005,0.12016195211813971,0.10619286796756984,0.0030167270355372106,267.0,32.743179281702076,0.021491560714513747,3.012278326303476e-05
8,0.9,2.637069807911353,0.020692023107524507,0.07275299422799422,0.0015650598750056792,2.4171111111111108,0.001255651121665226,3.9769999999999994,0.11784266942343977,0.10651503374194496,0.0035912670177886312,210.85,28.07445692402521,0.021414100117998703,3.0348310438698448e-05
8,1.0,2.6981864920970375,0.015216821544239869,0.0708186289200995,0.0017869159770807076,2.416929292929293,0.001509690673048199,3.78,0.1191107401582772,0.10829462173416089,0.002573545178237952,217.25,31.544194144256185,0.021521472051438905,2.836457201837941e-05
