k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0055,0.0013523858060557469
6,0.02950000000000001,0.004321001345935795
7,0.08400000000000003,0.004834089475033698
8,0.14,0.007539370349250519
9,0.18050000000000005,0.0058703088773751485
10,0.17400000000000002,0.006257626925348146
11,0.149,0.008882270928208914
12,0.11000000000000003,0.004472135954999579
13,0.06300000000000003,0.0033324560249003645
14,0.03350000000000001,0.0035743972624029475
15,0.0225,0.0025000000000000005
16,0.006,0.0015217718205053643
17,0.0025,0.0009933992677987828
