k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0015,0.0008191780219091251
6,0.014499999999999999,0.0023480114767046693
7,0.06050000000000002,0.004728135272799916
8,0.12250000000000001,0.00588821302532262
9,0.19850000000000004,0.006892978883961333
10,0.2265,0.010864597262863014
11,0.18450000000000005,0.010348531551053893
12,0.10950000000000001,0.0069764641926680125
13,0.05400000000000001,0.004
14,0.017499999999999998,0.003393104462691481
15,0.008,0.0018637822325921866
16,0.0025,0.0009933992677987832
