k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0055,0.0013523858060557469
6,0.026000000000000006,0.002937954891990076
7,0.08100000000000002,0.006361893131020538
8,0.14100000000000004,0.005424117682312851
9,0.17350000000000002,0.007822874690358566
10,0.191,0.008363454335443736
11,0.15400000000000005,0.007993418345245373
12,0.10600000000000002,0.004667919631292996
13,0.06400000000000003,0.004129483209670112
14,0.031000000000000007,0.004346807661043362
15,0.017000000000000005,0.002305599590927316
16,0.008,0.002127513992779762
17,0.001,0.0006882472016116853
18,0.001,0.0006882472016116853
