k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0035000000000000005,0.001094243309804831
6,0.03200000000000001,0.0035982451863446757
7,0.07950000000000003,0.0050510551268756546
8,0.14250000000000002,0.0057066443268951154
9,0.1655,0.007795916609961506
10,0.185,0.010649932048214154
11,0.1575,0.008235833131409418
12,0.11899999999999997,0.006403124237432849
13,0.06000000000000002,0.005331139899831832
14,0.03300000000000001,0.004236433455284365
15,0.012499999999999999,0.0021612618146765435
16,0.006,0.001835325870964494
17,0.0035000000000000005,0.0013128915456069917
18,0.0005,0.0005000000000000002
