m,t,model,variance_mean,sem_total,sem_network,sem_runs
120,17,model1_fixed_q,0.04497830284304985,7.53401420584654e-05,6.590460105535701e-05,7.53401420584654e-05
120,17,model3_dynamic_q,0.04934961399724276,9.323687843809748e-05,8.2389938099826e-05,9.323687843809748e-05
120,18,model1_fixed_q,0.044994497551429,9.047725925231111e-05,9.047725925231111e-05,7.377042480257897e-05
120,18,model3_dynamic_q,0.049339439628478664,9.179969171013334e-05,8.177888327399948e-05,9.179969171013334e-05
120,19,model1_fixed_q,0.0450988954835895,7.682160517885103e-05,6.621576710592882e-05,7.682160517885103e-05
120,19,model3_dynamic_q,0.04946589071913013,9.556625898470379e-05,9.556625898470379e-05,9.052386358677588e-05
120,20,model1_fixed_q,0.0450711790214183,7.836517734400739e-05,7.35538326376524e-05,7.836517734400739e-05
120,20,model3_dynamic_q,0.049251377858332814,0.00010509167946629982,0.00010509167946629982,9.144438659332667e-05
120,21,model1_fixed_q,0.04499773133232609,7.770120236777773e-05,7.770120236777775e-05,7.593858299816231e-05
120,21,model3_dynamic_q,0.049238244021445596,9.462710516568554e-05,8.585524904875112e-05,9.462710516568554e-05
120,22,model1_fixed_q,0.045095947142152516,7.485826510071988e-05,6.795137388186385e-05,7.485826510071988e-05
120,22,model3_dynamic_q,0.04920524122418373,9.066712639003596e-05,8.514534193118164e-05,9.066712639003596e-05
120,23,model1_fixed_q,0.04503056853911373,7.393008409922065e-05,6.0207643152778676e-05,7.393008409922065e-05
120,23,model3_dynamic_q,0.04924617197247584,9.247614040628302e-05,8.527378762660998e-05,9.247614040628302e-05
120,24,model1_fixed_q,0.044904174675572575,7.888213452529796e-05,7.888213452529797e-05,7.623441572911155e-05
120,24,model3_dynamic_q,0.04935365840513762,9.517514578541927e-05,7.560323558432265e-05,9.517514578541927e-05
120,25,model1_fixed_q,0.04485793311869904,7.52502392634098e-05,4.90667213387274e-05,7.52502392634098e-05
120,25,model3_dynamic_q,0.049433129195835396,9.735076301413521e-05,9.735076301413521e-05,9.505504429633199e-05
120,26,model1_fixed_q,0.04490196691859646,7.860009082245546e-05,7.860009082245546e-05,7.565137654864128e-05
120,26,model3_dynamic_q,0.0492632900865019,9.62108907778069e-05,9.343204255075517e-05,9.62108907778069e-05
120,27,model1_fixed_q,0.044942650581028594,7.483312616227021e-05,7.049654457678498e-05,7.483312616227021e-05
120,27,model3_dynamic_q,0.049319709709023635,9.583328805664699e-05,9.5833288056647e-05,9.311531599265475e-05
120,28,model1_fixed_q,0.0450186052585584,7.868131015574384e-05,7.868131015574384e-05,7.424609792716186e-05
120,28,model3_dynamic_q,0.04922680022787702,0.00010963857035438389,0.00010963857035438389,9.355299703435085e-05
120,29,model1_fixed_q,0.04499429171482891,8.596860653525595e-05,8.596860653525597e-05,7.604491519596837e-05
120,29,model3_dynamic_q,0.04929983421310472,0.00010992915687109524,0.00010992915687109524,9.126141310946322e-05
120,30,model1_fixed_q,0.04494819015484531,8.562592776036297e-05,8.562592776036297e-05,7.601694564264271e-05
120,30,model3_dynamic_q,0.04930780338393641,0.00010691916014371906,0.00010691916014371904,9.613997005698776e-05
120,31,model1_fixed_q,0.04502892881901229,7.634983204658725e-05,6.643632148064137e-05,7.634983204658725e-05
