k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0015,0.0008191780219091253
10,0.008,0.0017167901505579042
11,0.022500000000000003,0.0033146405695434248
12,0.04850000000000002,0.004247290157760654
13,0.08100000000000002,0.0060218898939400104
14,0.11800000000000002,0.006472614374586615
15,0.17099999999999999,0.008042649471804412
16,0.146,0.006341177044980645
17,0.13149999999999998,0.0057708432294550655
18,0.11050000000000001,0.007308070520790156
19,0.06600000000000002,0.0031119464208619967
20,0.0475,0.0051234753829797995
21,0.026000000000000002,0.0037975061068520944
22,0.013500000000000002,0.0022094295524791962
23,0.006500000000000001,0.0014999999999999996
24,0.0005,0.0005000000000000001
25,0.001,0.0006882472016116853
26,0.0005,0.0005000000000000002
