k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0015,0.0010942433098048308
12,0.014000000000000002,0.00265567911821955
13,0.052000000000000005,0.004844964830680023
14,0.10800000000000003,0.007093362353192187
15,0.20900000000000002,0.010282842121965266
16,0.25050000000000006,0.006785239397708127
17,0.19350000000000003,0.007514021979991109
18,0.09950000000000003,0.006260780176707423
19,0.046500000000000014,0.004184872506389751
20,0.017500000000000005,0.003469794472906216
21,0.006500000000000001,0.001666228012450182
22,0.001,0.0006882472016116853
23,0.0,0.0
24,0.0005,0.0005
