k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0025,0.0012301048307916044
10,0.0035000000000000005,0.0013128915456069917
11,0.019500000000000007,0.0024575340657273753
12,0.039500000000000014,0.004070109270484542
13,0.07250000000000002,0.0057066443268951154
14,0.132,0.006593457682470278
15,0.16900000000000004,0.007465711091735545
16,0.167,0.01021093325287835
17,0.1375,0.00851855559785133
18,0.10850000000000001,0.004935105182049795
19,0.0695,0.005734246153363876
20,0.04500000000000002,0.003663475485325232
21,0.019000000000000003,0.003395042825867397
22,0.0075,0.0017584383023461173
23,0.0025,0.000993399267798783
24,0.0025,0.0009933992677987828
25,0.002,0.0009176629354822469
26,0.0,0.0
27,0.0,0.0
28,0.0005,0.0005000000000000001
