k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0055,0.0016975214129336985
12,0.025000000000000005,0.00380442955126341
13,0.06250000000000003,0.004750346247768073
14,0.127,0.005135019089802059
15,0.19500000000000003,0.007930620205387802
16,0.19850000000000004,0.008312166099348466
17,0.165,0.0073806289847496275
18,0.11950000000000002,0.005594875474838325
19,0.06350000000000003,0.00364727728298074
20,0.027000000000000003,0.0030864730339780523
21,0.0085,0.0022094295524791967
22,0.002,0.0009176629354822469
23,0.001,0.0006882472016116853
