k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0025,0.0009933992677987828
13,0.010000000000000002,0.002176428750330035
14,0.09150000000000001,0.0065
15,0.22700000000000004,0.00903501958754758
16,0.348,0.011711442897305272
17,0.22200000000000003,0.007595012213704189
18,0.07400000000000002,0.00591162992930483
19,0.021000000000000005,0.0029824045403173027
20,0.003,0.00127733274731701
21,0.001,0.0010000000000000002
