m,t,model,variance_mean,sem_total,sem_network,sem_runs
80,0,model1_fixed_q,0.08346125079126018,8.264941081688016e-05,8.264941081688015e-05,7.88510465298673e-05
80,0,model3_dynamic_q,0.08333376673195622,0.00010077630668338635,0.00010077630668338634,8.256425206325218e-05
80,1,model1_fixed_q,0.06415396594962307,9.875814827088871e-05,9.875814827088872e-05,9.460207988599123e-05
80,1,model3_dynamic_q,0.068044348138879,0.00010614951170281927,8.53411666487377e-05,0.00010614951170281927
80,2,model1_fixed_q,0.05470281109813736,9.864634174602115e-05,9.864634174602115e-05,9.052959105637863e-05
80,2,model3_dynamic_q,0.06000630639795141,0.00011316336163184661,0.00010454168052621013,0.00011316336163184661
80,3,model1_fixed_q,0.049979648847309356,0.00011254660746626145,0.00011254660746626145,8.389715364162278e-05
80,3,model3_dynamic_q,0.05574953826059988,0.00011328991210006437,0.0001101032700743218,0.00011328991210006437
80,4,model1_fixed_q,0.04748841446113335,8.113597875552564e-05,6.57983076341938e-05,8.113597875552564e-05
80,4,model3_dynamic_q,0.05343322812523841,0.00012545742001333066,0.00012545742001333066,0.00010766978513890211
80,5,model1_fixed_q,0.04630605563256149,8.126768961560512e-05,6.7382103931754e-05,8.126768961560512e-05
80,5,model3_dynamic_q,0.052177087529341276,0.00013223924698908175,0.00013223924698908175,0.00010371255658182471
80,6,model1_fixed_q,0.04567138029110548,7.92235835652967e-05,7.438106998163059e-05,7.92235835652967e-05
80,6,model3_dynamic_q,0.051432497672079545,0.00010044323948512254,8.913033343548484e-05,0.00010044323948512254
80,7,model1_fixed_q,0.04543721543745473,8.150562784564567e-05,8.150562784564567e-05,7.62467541415235e-05
80,7,model3_dynamic_q,0.05097410353171169,9.666934434555488e-05,9.326527176776672e-05,9.666934434555488e-05
80,8,model1_fixed_q,0.04527658068320436,8.476011846108371e-05,8.476011846108371e-05,7.553153095054405e-05
80,8,model3_dynamic_q,0.050642036217534575,0.00012505941239394433,0.00012505941239394433,0.00010140765759121904
80,9,model1_fixed_q,0.04517127273705319,0.00010186265961982117,0.00010186265961982116,7.59951736589878e-05
80,9,model3_dynamic_q,0.05053384684158364,0.00011698556104156354,0.00011698556104156355,9.933999320433181e-05
80,10,model1_fixed_q,0.04517388074159724,8.980964223765866e-05,8.980964223765866e-05,7.473956128785634e-05
80,10,model3_dynamic_q,0.05027361644543386,0.00010713637270562652,0.0001071363727056265,0.0001005979388303156
80,11,model1_fixed_q,0.045094176007029245,7.316625606431443e-05,6.446966324463228e-05,7.316625606431443e-05
80,11,model3_dynamic_q,0.050289590081374916,0.00010608097189036162,0.00010608097189036163,9.68845356776368e-05
80,12,model1_fixed_q,0.04502018672144519,7.590090227301557e-05,5.758544473905666e-05,7.590090227301557e-05
80,12,model3_dynamic_q,0.05016243521654899,0.0001035197175137711,0.0001035197175137711,9.646796510897998e-05
80,13,model1_fixed_q,0.04505004086284223,8.253970603697735e-05,8.253970603697735e-05,7.687524666489897e-05
80,13,model3_dynamic_q,0.05013880040538246,0.0001110583981368551,0.0001110583981368551,9.620163876917484e-05
80,14,model1_fixed_q,0.04505820725215114,7.90063867926272e-05,7.03045153767632e-05,7.90063867926272e-05
80,14,model3_dynamic_q,0.05025345608436968,9.65873052565121e-05,9.509373673498935e-05,9.65873052565121e-05
80,15,model1_fixed_q,0.04487868947302948,7.745211335131221e-05,7.745211335131221e-05,7.659537128047962e-05
80,15,model3_dynamic_q,0.05034609438569869,0.00011217121474961954,0.00011217121474961954,0.00010055443171910342
80,16,model1_fixed_q,0.04494168636773457,7.616098192188701e-05,6.137820050696447e-05,7.616098192188701e-05
80,16,model3_dynamic_q,0.05036130652140138,0.00010206240460651438,0.00010206240460651436,0.0001003858858758046
80,17,model1_fixed_q,0.04490505842136591,7.289954591446972e-05,6.939483162988584e-05,7.289954591446972e-05
80,17,model3_dynamic_q,0.050309756279529945,0.00010900174493330412,0.00010900174493330411,0.00010024812950069898
