p,realization,N,E,k_mean,C,L,lambda2
0.01,0,100,500,10.0,0.6556969696969697,4.439191919191919,0.22621618834745955
0.01,1,100,500,10.0,0.6440606060606061,3.995151515151515,0.26118400811085035
0.01,2,100,500,10.0,0.6273434343434343,3.34020202020202,0.40770937145072417
0.01,3,100,500,10.0,0.6406161616161615,3.6955555555555555,0.2662310894770179
0.01,4,100,500,10.0,0.643989898989899,3.9056565656565656,0.24881737140588536
0.01,5,100,500,10.0,0.6589090909090909,4.763636363636364,0.21533101093412294
0.01,6,100,500,10.0,0.6555454545454544,4.665252525252526,0.2210757009574427
0.01,7,100,500,10.0,0.6491818181818182,3.743838383838384,0.28512297460133407
0.01,8,100,500,10.0,0.6539242424242424,3.9167676767676767,0.272931498110356
0.01,9,100,500,10.0,0.6666666666666665,5.454545454545454,0.21586328420955797
0.01,10,100,500,10.0,0.6433297258297259,3.8175757575757574,0.2676020296133982
0.01,11,100,500,10.0,0.6440858585858585,3.7777777777777777,0.27799190982157096
0.01,12,100,500,10.0,0.6491212121212121,3.955151515151515,0.2590488057163187
0.01,13,100,500,10.0,0.6488427128427128,3.978181818181818,0.27911543232820946
0.01,14,100,500,10.0,0.6564747474747474,3.992121212121212,0.2586046512702469
0.01,15,100,500,10.0,0.6445728715728716,4.004646464646465,0.251233897204537
0.01,16,100,500,10.0,0.6603535353535354,4.901818181818181,0.21767724939353586
0.01,17,100,500,10.0,0.6475808080808081,3.7826262626262626,0.2931885007720322
0.01,18,100,500,10.0,0.6451464646464646,3.8537373737373737,0.2705971715291816
0.01,19,100,500,10.0,0.6512474747474748,3.736767676767677,0.28337925210914877
0.01,20,100,500,10.0,0.6504696969696969,3.8927272727272726,0.2637276705016473
0.01,21,100,500,10.0,0.6570252525252525,4.56929292929293,0.22589933772321763
0.01,22,100,500,10.0,0.6589090909090909,4.5593939393939396,0.2138085096282472
0.01,23,100,500,10.0,0.6399343434343434,3.6286868686868687,0.3059160125925895
0.01,24,100,500,10.0,0.6408636363636363,3.7058585858585857,0.30877794897273425
0.01,25,100,500,10.0,0.6368686868686868,3.5175757575757576,0.305809512293632
0.01,26,100,500,10.0,0.6503737373737374,3.7305050505050503,0.30203029151434746
0.01,27,100,500,10.0,0.6586818181818181,4.015151515151516,0.2532357318031659
0.01,28,100,500,10.0,0.6514769119769119,4.0052525252525255,0.24206512099831384
0.01,29,100,500,10.0,0.6524848484848484,4.0193939393939395,0.23884138867669333
0.03,0,100,500,10.0,0.6172828282828283,3.2864646464646463,0.37904749118475173
0.03,1,100,500,10.0,0.6317222222222223,3.4824242424242424,0.33321553305348117
0.03,2,100,500,10.0,0.6337070707070707,3.4690909090909092,0.3461277548166066
0.03,3,100,500,10.0,0.6077489177489178,3.0684848484848484,0.47139939167454215
0.03,4,100,500,10.0,0.5951421356421356,3.2614141414141415,0.34673167495560375
0.03,5,100,500,10.0,0.6372626262626262,3.6775757575757577,0.2702129647117991
0.03,6,100,500,10.0,0.6013181818181819,3.3430303030303032,0.3941622218659141
0.03,7,100,500,10.0,0.6313787878787879,3.6864646464646467,0.30150914039655907
