m,t,model,variance_mean,sem_total,sem_network,sem_runs
15,0,model1_fixed_q,0.08324198132393332,8.039932551805302e-05,8.039932551805302e-05,7.642424339685416e-05
15,0,model3_dynamic_q,0.08343718587572205,8.548272197041822e-05,8.548272197041822e-05,7.979893823499161e-05
15,1,model1_fixed_q,0.06398019228529354,9.673714953294351e-05,8.029409729566964e-05,9.673714953294351e-05
15,1,model3_dynamic_q,0.07123396379421715,0.00013499258488074628,0.00013499258488074628,0.00011939454264564577
15,2,model1_fixed_q,0.055111197442550636,9.730858198766947e-05,9.730858198766948e-05,9.143946077999966e-05
15,2,model3_dynamic_q,0.06534470713066459,0.00014178381325645408,0.00013122372594961357,0.00014178381325645408
15,3,model1_fixed_q,0.05072000024409813,0.0001278853240211125,0.0001278853240211125,8.871137848399376e-05
15,3,model3_dynamic_q,0.06213516322209833,0.0001728679279371388,0.0001728679279371388,0.00015447906763105336
15,4,model1_fixed_q,0.0483098094501162,9.668825934782886e-05,9.668825934782886e-05,8.368455466904902e-05
15,4,model3_dynamic_q,0.06045316280921744,0.00018806583576643876,0.00018806583576643873,0.00015911002780370456
15,5,model1_fixed_q,0.04724794364083864,9.273404328239737e-05,9.273404328239736e-05,7.908723462382855e-05
15,5,model3_dynamic_q,0.05941045063664294,0.000187378886231157,0.000187378886231157,0.00015770808513298985
15,6,model1_fixed_q,0.04659262201328828,8.003993115900275e-05,7.452573859523557e-05,8.003993115900275e-05
15,6,model3_dynamic_q,0.05876923670670345,0.00016464745577013417,0.00016464745577013417,0.00015802760797605577
15,7,model1_fixed_q,0.046341351443322513,8.228161026501289e-05,8.228161026501289e-05,7.885039659423563e-05
15,7,model3_dynamic_q,0.05864488282421962,0.00016438267188062316,0.00016438267188062316,0.000158692949035272
15,8,model1_fixed_q,0.04622412413272874,8.231177715992767e-05,6.315120489475071e-05,8.231177715992767e-05
15,8,model3_dynamic_q,0.0584358538170643,0.0001562143003926171,0.0001522904391187646,0.0001562143003926171
15,9,model1_fixed_q,0.04611550095006824,8.012416134134699e-05,8.012416134134699e-05,7.713905021032768e-05
15,9,model3_dynamic_q,0.05856619184417912,0.00015559074805213046,0.0001470368548148899,0.00015559074805213046
15,10,model1_fixed_q,0.04599788121706962,9.485668097048589e-05,9.485668097048589e-05,7.57140864521585e-05
15,10,model3_dynamic_q,0.05838397105800763,0.00015617932658885678,0.000138980756291779,0.00015617932658885678
15,11,model1_fixed_q,0.04610609927118148,9.576622278940256e-05,9.576622278940256e-05,7.94862157112404e-05
15,11,model3_dynamic_q,0.05830167285196914,0.00017245786004268008,0.00017245786004268008,0.0001561281348212545
15,12,model1_fixed_q,0.046037044421529054,9.20521777230047e-05,9.20521777230047e-05,8.088648393009444e-05
15,12,model3_dynamic_q,0.05831225092263727,0.00019120565006938754,0.00019120565006938754,0.00015422865637734735
15,13,model1_fixed_q,0.046053582375350725,8.919985465141168e-05,8.919985465141169e-05,8.327459458691364e-05
15,13,model3_dynamic_q,0.05810304875036819,0.0001945764596206973,0.0001945764596206973,0.00015447319577896067
15,14,model1_fixed_q,0.04602911820383932,7.807511486204656e-05,6.625385780562516e-05,7.807511486204656e-05
15,14,model3_dynamic_q,0.05809624657412569,0.00020554928118896753,0.00020554928118896753,0.00015177630426417888
15,15,model1_fixed_q,0.04596503757074804,8.178981352577668e-05,7.89226797963926e-05,8.178981352577668e-05
15,15,model3_dynamic_q,0.05836892134250058,0.0001888951051860123,0.00018889510518601228,0.00015300413196336047
