k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.003,0.0010513149660756934
7,0.013000000000000001,0.002417044737516849
8,0.04350000000000002,0.004369451368668371
9,0.08150000000000002,0.005194886149403388
10,0.12600000000000003,0.008316122578271806
11,0.16449999999999998,0.006785239397708125
12,0.17150000000000004,0.007191917978573332
13,0.13699999999999998,0.007983535689483899
14,0.12449999999999999,0.007162585537286613
15,0.06700000000000003,0.0055298234482143325
16,0.039,0.00422399162678596
17,0.013000000000000001,0.0024170447375168494
18,0.009000000000000001,0.0016059101370939325
19,0.0055,0.001534686664402456
20,0.001,0.0006882472016116853
21,0.0005,0.0005
22,0.0005,0.0005000000000000001
