k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.003,0.0010513149660756934
7,0.015500000000000003,0.00223312384458703
8,0.036,0.0035093859111936104
9,0.08200000000000003,0.006095727580596275
10,0.14300000000000002,0.008858537362935615
11,0.157,0.009064099223686936
12,0.17100000000000004,0.008300285347029054
13,0.13649999999999998,0.0064593872937397335
14,0.11300000000000002,0.0061172749350980596
15,0.06800000000000002,0.004735087394291571
16,0.041000000000000016,0.004861232245775593
17,0.0165,0.0023254880642226707
18,0.011,0.0027047716121114938
19,0.0034999999999999996,0.0016662280124501818
20,0.0025,0.0012301048307916047
21,0.0,0.0
22,0.0005,0.0005000000000000001
