k,pk_mean,pk_sem
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0025,0.0009933992677987828
8,0.016000000000000004,0.0022242680641174142
9,0.057500000000000016,0.0036903144923748138
10,0.134,0.005591346697776559
11,0.2,0.00885556619486179
12,0.22249999999999998,0.010806309073382718
13,0.16849999999999996,0.009848189788243481
14,0.10350000000000004,0.005040624439178355
15,0.05800000000000002,0.0032118202741878645
16,0.026500000000000006,0.0032666577157056034
17,0.006500000000000001,0.001956769625791716
18,0.003,0.0010513149660756934
19,0.001,0.0006882472016116853
20,0.0005,0.0005000000000000001
