k,p,realization,N,E,k_mean,C,L,lambda2
8,0.0,23,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,24,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,25,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,26,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,27,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,28,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.0,29,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.01,0,100,400,8.0,0.601388888888889,4.556363636363637,0.148344555683041
8,0.01,1,100,400,8.0,0.6125396825396825,4.291717171717171,0.1867476322015286
8,0.01,2,100,400,8.0,0.6196031746031746,4.4911111111111115,0.16388101515722808
8,0.01,3,100,400,8.0,0.6169761904761905,4.462424242424243,0.17938553473018976
8,0.01,4,100,400,8.0,0.6084920634920635,4.663636363636364,0.13000529852150744
8,0.01,5,100,400,8.0,0.615,4.276363636363636,0.1721496982210591
8,0.01,6,100,400,8.0,0.6323809523809524,5.645050505050505,0.12167610523910755
8,0.01,7,100,400,8.0,0.631031746031746,5.1066666666666665,0.12409554023047065
8,0.01,8,100,400,8.0,0.6403968253968254,6.681414141414141,0.11797222704689317
8,0.01,9,100,400,8.0,0.6254761904761905,4.805858585858586,0.16219319910728353
8,0.01,10,100,400,8.0,0.6008730158730159,4.042222222222223,0.20601436719635685
8,0.01,11,100,400,8.0,0.6203968253968255,4.42969696969697,0.16858321040980773
8,0.01,12,100,400,8.0,0.6389285714285715,5.786060606060606,0.11746197844775322
8,0.01,13,100,400,8.0,0.6230952380952381,4.514141414141414,0.15736129798451712
8,0.01,14,100,400,8.0,0.6311904761904762,5.182020202020202,0.12483302796389106
8,0.01,15,100,400,8.0,0.6057936507936508,4.314141414141414,0.18039996128127972
8,0.01,16,100,400,8.0,0.6296031746031746,4.811919191919192,0.13381373907282293
8,0.01,17,100,400,8.0,0.6323809523809524,5.434949494949495,0.13032680247479506
8,0.01,18,100,400,8.0,0.622936507936508,4.445858585858586,0.17244207595673966
8,0.01,19,100,400,8.0,0.6428571428571429,6.696969696969697,0.11797631679985265
8,0.01,20,100,400,8.0,0.6199603174603174,4.545656565656565,0.15177408852475793
8,0.01,21,100,400,8.0,0.6253968253968254,5.144040404040404,0.12183007857654166
8,0.01,22,100,400,8.0,0.608452380952381,4.148484848484848,0.17262625516041014
8,0.01,23,100,400,8.0,0.6301984126984127,4.912929292929293,0.14084787372676866
8,0.01,24,100,400,8.0,0.6235714285714287,5.025252525252525,0.1387015244019635
8,0.01,25,100,400,8.0,0.615436507936508,4.394343434343434,0.17854444194104996
8,0.01,26,100,400,8.0,0.6323809523809524,4.875353535353535,0.14574709043701678
8,0.01,27,100,400,8.0,0.601547619047619,3.9804040404040406,0.22728523057579184
8,0.01,28,100,400,8.0,0.6323809523809524,5.8680808080808085,0.1196302857344275
8,0.01,29,100,400,8.0,0.6370238095238095,5.465656565656565,0.11672675204402244
8,0.03,0,100,400,8.0,0.5867857142857144,3.576969696969697,0.27468868630612153
8,0.03,1,100,400,8.0,0.5952380952380952,3.881414141414141,0.23680234696463165
8,0.03,2,100,400,8.0,0.5939365079365079,3.751919191919192,0.23265803420804038
8,0.03,3,100,400,8.0,0.5911111111111111,3.802828282828283,0.2750062566427246
8,0.03,4,100,400,8.0,0.5735396825396826,3.6066666666666665,0.27297198545618756
8,0.03,5,100,400,8.0,0.5980952380952381,3.8159595959595958,0.23544441176217829
8,0.03,6,100,400,8.0,0.6104761904761905,4.12020202020202,0.19380928628553262
8,0.03,7,100,400,8.0,0.5847222222222223,3.813939393939394,0.2227053571849072
