k,p,plateau_mean,plateau_sem,vmin_mean,tstar_mean,delta_mean,delta_sem,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,inv_lambda2_mean
12,0.0,0.03202396046551437,0.0002646382326347282,0.024976872152994604,10.8,0.21881312875290013,0.006818061287419217,0.6818181818181821,6.184897200291535e-17,4.636363636363637,0.0,0.35631031243305045,2.0616324000971782e-17,2.8065424016822322
12,0.01,0.02913080791247391,0.00021202013112866033,0.024539506635648887,85.53333333333333,0.1567164095696349,0.005464091260713004,0.6604537203537203,0.001377783888359437,3.364875420875421,0.04599363459935699,0.4412275731191354,0.009504985907692803,2.2664041436276943
12,0.03,0.02680149382852913,0.0001621006350697151,0.023274528242534263,177.13333333333333,0.13097600248927818,0.0048361129513340845,0.6290326673326674,0.002326406427791923,2.934228956228956,0.025774329168112,0.5845565973221664,0.01729638112346086,1.7106983388451444
12,0.05,0.025243973598047878,0.00013521228044677312,0.02249054371555638,256.26666666666665,0.10858301177247927,0.004619711426428274,0.5916987327487326,0.0023320781688048416,2.7080134680134678,0.0113615561993895,0.8047731871685067,0.018509932736463522,1.242586129786921
12,0.1,0.02337577307196701,7.523621468869287e-05,0.020969365046282617,262.26666666666665,0.10279105707468199,0.003180751715480614,0.516419770969771,0.003161776420670581,2.4869292929292928,0.007511016528892216,1.2696741976950576,0.03187623313865511,0.7876036244694749
12,0.2,0.021857037700185062,3.05583819528888e-05,0.01980226917061101,242.96666666666667,0.0939984699144183,0.0022989897198888317,0.3844054599539894,0.0031740645982209882,2.3054478114478116,0.0029628386767680376,2.2226175401835833,0.03037780682222317,0.4499199623509685
12,0.3,0.02120625850300293,2.353152095069773e-05,0.019312570864061747,207.9,0.08928590711760914,0.0022467857239281473,0.2914821763204117,0.003776979481715678,2.214161616161616,0.0029679462121379395,3.048176061087681,0.04276398804907346,0.3280650395381591
12,0.4,0.02090148391700083,2.111626682651098e-05,0.019090083415471797,231.03333333333333,0.0866365268667439,0.0020765773776668097,0.2124537631328653,0.003002574122118856,2.1502020202020202,0.00236672250523181,3.924224328994656,0.04789365869240837,0.2548274298722849
12,0.5,0.02080219701371375,2.087652366413401e-05,0.01897464383977261,278.06666666666666,0.08784510766110451,0.002178370049995969,0.16678222322626352,0.0017514125210660767,2.114148148148148,0.001505327751449699,4.555139884899708,0.044881152623496075,0.2195322262912278
12,0.7,0.020629344799331224,2.4315257657221625e-05,0.018821304843612705,237.2,0.0876275206660054,0.0019555781366954257,0.12327614712715332,0.001370696478178131,2.0806195286195286,0.0012005693327274637,5.148863680649078,0.037060877104605455,0.19421761033571153
12,0.9,0.02062475736839387,2.0810064474117592e-05,0.01883198642141087,267.03333333333336,0.0869061011304867,0.0019857082946774366,0.11305750997169424,0.0010983603761480522,2.0745454545454547,0.0009324375489599344,5.218813557432373,0.03911287119293784,0.1916144328581829
12,1.0,0.020590294477884487,2.2077686053814746e-05,0.018846196554240587,247.73333333333332,0.08468765640181145,0.0022408693039398407,0.11316427425916586,0.0011383732753374358,2.0745858585858583,0.0008615427736880306,5.301517273019465,0.03577063849873164,0.1886252460383766
