k,pk_mean,pk_sem
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,3.3333333333333335e-05,3.333333333333333e-05
148,0.0,0.0
149,3.3333333333333335e-05,3.333333333333332e-05
150,0.0,0.0
151,3.3333333333333335e-05,3.333333333333332e-05
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,3.3333333333333335e-05,3.333333333333332e-05
